Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
SunApr 1,7:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,56,,57.7
SunApr 1,7:50pm,JPY,High Impact Expected,Tankan Manufacturing Index,23,24,25
SunApr 1,7:50pm,JPY,Medium Impact Expected,Tankan Non-Manufacturing Index,22,23,22
SunApr 1,8:30pm,AUD,Medium Impact Expected,Private Sector Credit m/m,1.40%,1.30%,1.20%
SunApr 1,9:00pm,CNY,High Impact Expected,Manufacturing PMI,56.1,,53.1
SunApr 1,9:30pm,AUD,High Impact Expected,Building Approvals m/m,10.60%,0.50%,-2.40%
SunApr 1,9:30pm,AUD,High Impact Expected,Retail Sales m/m,0.90%,0.60%,0.80%
SunApr 1,10:30pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,52.3,,53
MonApr 2,2:30am,AUD,Medium Impact Expected,Commodity Prices y/y,9.00%,,8.10%
MonApr 2,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,55.4,,56.2
MonApr 2,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,62,63.1,63.5
MonApr 2,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,53.8,54.5,54.2
MonApr 2,4:00am,EUR,Medium Impact Expected,Final Manufacturing PMI,55.4,55.6,55.6
MonApr 2,4:30am,GBP,Medium Impact Expected,Final Manufacturing PMI,54.4,55,55.4
MonApr 2,4:30am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,14.6B,14.3B,12.2B
MonApr 2,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,50.9,51.3,52.3
MonApr 2,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,65.5,60,59
MonApr 2,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,-19.10%,-22.00%,-21.10%
MonApr 2,9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,59.6,,49.7
MonApr 2,9:30pm,AUD,Medium Impact Expected,Trade Balance,-0.84B,-1.30B,-0.82B
MonApr 2,11:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.66|3.1,,1.67|3.9
TueApr 3,1:45am,CHF,High Impact Expected,CPI m/m,0.10%,0.20%,0.20%
TueApr 3,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,-15.8K,,-7.2K
TueApr 3,4:30am,GBP,Low Impact Expected,Construction PMI,58.9,57.5,57.3
TueApr 3,5:00am,EUR,Low Impact Expected,PPI m/m,0.30%,0.30%,0.20%
TueApr 3,10:00am,USD,High Impact Expected,Pending Home Sales m/m,0.70%,-0.50%,-4.20%
TueApr 3,All Day,USD,Low Impact Expected,Total Vehicle Sales,16.3M,16.4M,16.6M
TueApr 3,7:01pm,GBP,Low Impact Expected,Nationwide Consumer Confidence,88,86,85
TueApr 3,7:30pm,AUD,High Impact Expected,Cash Rate,6.25%,6.25%,6.25%
TueApr 3,7:30pm,AUD,Low Impact Expected,AIG Services Index,50.6,,54.5
TueApr 3,11:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,2.00%,,1.60%
WedApr 4,3:15am,EUR,Low Impact Expected,Spanish Services PMI,56.7,,56.7
WedApr 4,3:45am,EUR,Low Impact Expected,Italian Services PMI,54.1,56.4,56.2
WedApr 4,4:00am,EUR,Low Impact Expected,Final Services PMI,57.4,57.6,57.5
WedApr 4,4:30am,GBP,Medium Impact Expected,Final Services PMI,57.6,57.5,57.4
WedApr 4,5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.30%,1.00%,-0.80%
WedApr 4,5:30am,GBP,Low Impact Expected,BRC Shop Price Index y/y,0.70%,,1.80%
WedApr 4,6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,3.90%,0.60%,-0.30%
WedApr 4,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,106K,125K,65K
WedApr 4,8:30am,CAD,Medium Impact Expected,Building Permits m/m,-22.40%,-8.50%,10.40%
WedApr 4,10:00am,USD,High Impact Expected,ISM Services PMI,52.4,54.8,54.3
