Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
ThuJan 1,All Day,CHF,Non-Economic,Bank Holiday,,,
ThuJan 1,All Day,EUR,Non-Economic,German Bank Holiday,,,
ThuJan 1,All Day,EUR,Non-Economic,French Bank Holiday,,,
ThuJan 1,All Day,EUR,Non-Economic,Italian Bank Holiday,,,
ThuJan 1,All Day,GBP,Non-Economic,Bank Holiday,,,
ThuJan 1,All Day,CAD,Non-Economic,Bank Holiday,,,
ThuJan 1,All Day,USD,Non-Economic,Bank Holiday,,,
ThuJan 1,All Day,NZD,Non-Economic,Bank Holiday,,,
ThuJan 1,5:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,33.7,,32.7
ThuJan 1,All Day,CNY,Non-Economic,Bank Holiday,,,
ThuJan 1,All Day,JPY,Non-Economic,Bank Holiday,,,
ThuJan 1,9:30pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,41.2,,40.9
FriJan 2,12:30am,AUD,Medium Impact Expected,Commodity Prices y/y,34.3%,,37.1%
FriJan 2,All Day,CHF,Non-Economic,Bank Holiday,,,
FriJan 2,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,28.5,,29.4
FriJan 2,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,35.5,33.9,34.9
FriJan 2,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,34.9,35.8,35.9
FriJan 2,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,32.7,33.4,33.5
FriJan 2,4:00am,EUR,Medium Impact Expected,Final Manufacturing PMI,33.9,34.5,34.5
FriJan 2,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,34.9,33.5,34.5
FriJan 2,5:00am,GBP,High Impact Expected,Halifax HPI m/m,-2.2%,-1.6%,-2.7%
FriJan 2,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,32.4,35.5,36.2
FriJan 2,8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,48.9,,45.4
SatJan 3,5:30pm,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
SatJan 3,8:00pm,CNY,High Impact Expected,Manufacturing PMI,41.2,,38.8
SunJan 4,1:15pm,USD,Medium Impact Expected,FOMC Member Yellen Speaks,,,
