Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
TueDec 1,12:30am,AUD,Medium Impact Expected,Commodity Prices y/y,-25.3%,,-30.3%
TueDec 1,1:38am,JPY,High Impact Expected,Monetary Policy Statement,,,
TueDec 1,1:45am,CHF,Medium Impact Expected,GDP q/q,0.3%,0.3%,-0.3%
TueDec 1,2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,0.5%,0.6%,-0.2%
TueDec 1,2:30am,JPY,High Impact Expected,BOJ Press Conference,,,
TueDec 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,45.3,,46.3
TueDec 1,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,56.9,54.9,54.0
TueDec 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,50.1,50.0,49.2
TueDec 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,54.4,54.4,54.2
TueDec 1,3:55am,EUR,Medium Impact Expected,German Unemployment Change,-7K,5K,-26K
TueDec 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,51.2,51.0,51.0
TueDec 1,All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
TueDec 1,4:30am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,8.2%,8.1%,8.0%
TueDec 1,5:00am,EUR,Medium Impact Expected,Unemployment Rate,9.8%,9.8%,9.8%
TueDec 1,7:30am,NZD,Low Impact Expected,GDT Price Index,1.7%,,13.6%
TueDec 1,9:30am,GBP,Medium Impact Expected,MPC Member Posen Speaks,,,
TueDec 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,53.6,54.8,55.7
TueDec 1,All Day,USD,Low Impact Expected,Total Vehicle Sales,10.9M,10.5M,10.5M
TueDec 1,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,3.8%,4.7%,4.4%
WedDec 2,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,60.6K,,98.9K
WedDec 2,3:20am,GBP,Medium Impact Expected,MPC Member Dale Speaks,,,
WedDec 2,All Day,EUR,Low Impact Expected,ECOFIN Meetings,,,
WedDec 2,4:30am,GBP,Medium Impact Expected,Construction PMI,47.0,46.9,46.2
WedDec 2,4:41am,GBP,Low Impact Expected,30-y Bond Auction,4.16|1.7,,4.17|1.6
WedDec 2,5:00am,EUR,Low Impact Expected,PPI m/m,0.2%,0.1%,-0.4%
WedDec 2,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-72.3%,,-50.7%
WedDec 2,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,-169K,-149K,-195K
WedDec 2,10:30am,USD,Medium Impact Expected,Crude Oil Inventories,2.1M,-0.4M,1.0M
WedDec 2,1:15pm,USD,Medium Impact Expected,FOMC Member Lacker Speaks,,,
WedDec 2,2:00pm,USD,Medium Impact Expected,Beige Book,,,
WedDec 2,5:30pm,AUD,Low Impact Expected,AIG Services Index,52.5,,54.8
WedDec 2,6:50pm,JPY,Medium Impact Expected,Capital Spending q/y,-24.8%,-15.8%,-21.7%
WedDec 2,7:30pm,AUD,High Impact Expected,Retail Sales m/m,0.3%,0.4%,-0.2%
WedDec 2,8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,52.3,,62.1
WedDec 2,9:03pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,10.5%,,4.7%
ThuDec 3,3:15am,EUR,Low Impact Expected,Spanish Services PMI,46.1,,47.7
ThuDec 3,3:45am,EUR,Low Impact Expected,Italian Services PMI,49.8,52.2,52.2
ThuDec 3,3:50am,EUR,Low Impact Expected,French Final Services PMI,60.9,60.4,60.4
ThuDec 3,3:55am,EUR,Low Impact Expected,German Final Services PMI,51.4,51.5,51.5
ThuDec 3,4:00am,EUR,Low Impact Expected,Final Services PMI,53.0,53.3,53.2
ThuDec 3,4:30am,GBP,High Impact Expected,Final Services PMI,56.6,57.1,56.9
ThuDec 3,5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.0%,0.2%,-0.5%
ThuDec 3,7:45am,EUR,High Impact Expected,Main Refinancing Rate,1.00%,1.00%,1.00%
ThuDec 3,8:30am,EUR,High Impact Expected,ECB Press Conference,,,
ThuDec 3,10:00am,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
ThuDec 3,10:30am,USD,Low Impact Expected,Natural Gas Storage,2B,1B,2B
FriDec 4,3:00am,CHF,High Impact Expected,Foreign Currency Reserves,95B,,90B
FriDec 4,3:15am,CHF,Medium Impact Expected,CPI m/m,0.2%,0.1%,0.6%
FriDec 4,7:00am,CAD,High Impact Expected,Employment Change,79.1K,15.3K,-43.2K
