Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
SunSep 1,6:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,53.1,,51.3
SunSep 1,6:45pm,NZD,Low Impact Expected,Overseas Trade Index q/q,1.60%,1.00%,1.00%
SunSep 1,7:50pm,JPY,Low Impact Expected,Capital Spending q/y,1.90%,1.80%,6.10%
SunSep 1,8:30pm,JPY,Low Impact Expected,Final Manufacturing PMI,49.3,49.5,49.5
SunSep 1,9:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.00%,,0.30%
SunSep 1,9:30pm,AUD,Medium Impact Expected,Company Operating Profits q/q,4.50%,2.10%,1.70%
SunSep 1,9:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,-2.80%,,0.80%
SunSep 1,9:45pm,CNY,High Impact Expected,Caixin Manufacturing PMI,50.4,49.8,49.9
MonSep 2,2:30am,AUD,Low Impact Expected,Commodity Prices y/y,6.20%,,15.00%
MonSep 2,2:30am,CHF,Low Impact Expected,Retail Sales y/y,1.40%,0.90%,0.70%
MonSep 2,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,48.8,48.6,48.2
MonSep 2,3:30am,CHF,Low Impact Expected,Manufacturing PMI,47.2,45.6,44.7
MonSep 2,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,48.7,48.6,48.5
MonSep 2,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,51.1,51,51
MonSep 2,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,43.5,43.6,43.6
MonSep 2,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,47,47,47
MonSep 2,4:30am,GBP,Medium Impact Expected,Final Manufacturing PMI,47.4,48,48
MonSep 2,All Day,CAD,Non-Economic,Bank Holiday,,,
MonSep 2,All Day,USD,Non-Economic,Bank Holiday,,,
MonSep 2,7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,-0.50%,-0.40%,0.10%
MonSep 2,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,2.80%,2.90%,3.70%
MonSep 2,9:30pm,AUD,High Impact Expected,Retail Sales m/m,-0.10%,0.20%,0.40%
MonSep 2,9:30pm,AUD,Medium Impact Expected,Current Account,5.9B,1.5B,-1.1B
MonSep 2,11:35pm,JPY,Low Impact Expected,10-y Bond Auction,-0.27|3.6,,-0.15|3.8
TueSep 3,12:30am,AUD,High Impact Expected,Cash Rate,1.00%,1.00%,1.00%
TueSep 3,,AUD,High Impact Expected,RBA Rate Statement,,,
TueSep 3,2:30am,CHF,Low Impact Expected,CPI m/m,0.00%,-0.10%,-0.50%
TueSep 3,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,54.4K,35.8K,-4.3K
TueSep 3,4:30am,GBP,Low Impact Expected,Construction PMI,45,46.7,45.3
TueSep 3,5:00am,EUR,Low Impact Expected,PPI m/m,0.20%,0.30%,-0.60%
TueSep 3,9:30am,CAD,Low Impact Expected,Manufacturing PMI,49.1,,50.2
TueSep 3,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,50.3,50,49.9
TueSep 3,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,49.1,51.2,51.2
TueSep 3,10:00am,USD,Low Impact Expected,Construction Spending m/m,0.10%,0.30%,-0.70%
TueSep 3,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,46,47.6,45.1
TueSep 3,10:22am,NZD,Low Impact Expected,GDT Price Index,-0.40%,,-0.20%
TueSep 3,5:00pm,USD,Medium Impact Expected,FOMC Member Rosengren Speaks,,,
