Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
TueJan 1,All Day,CHF,Non-Economic,Bank Holiday,,,
TueJan 1,All Day,EUR,Non-Economic,French Bank Holiday,,,
TueJan 1,All Day,EUR,Non-Economic,German Bank Holiday,,,
TueJan 1,All Day,EUR,Non-Economic,Italian Bank Holiday,,,
TueJan 1,All Day,GBP,Non-Economic,Bank Holiday,,,
TueJan 1,All Day,CAD,Non-Economic,Bank Holiday,,,
TueJan 1,All Day,USD,Non-Economic,Bank Holiday,,,
TueJan 1,All Day,NZD,Non-Economic,Bank Holiday,,,
TueJan 1,All Day,JPY,Non-Economic,Bank Holiday,,,
TueJan 1,8:45pm,CNY,Low Impact Expected,Caixin Manufacturing PMI,49.7,50.1,50.2
WedJan 2,12:30am,AUD,Low Impact Expected,Commodity Prices y/y,10.50%,,13.40%
WedJan 2,All Day,CHF,Non-Economic,Bank Holiday,,,
WedJan 2,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,51.1,52.4,52.6
WedJan 2,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,49.2,48.5,48.6
WedJan 2,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,49.7,49.7,49.7
WedJan 2,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,51.5,51.5,51.5
WedJan 2,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,51.4,51.4,51.4
WedJan 2,4:30am,GBP,Medium Impact Expected,Final Manufacturing PMI,54.2,52.5,53.6
WedJan 2,9:30am,CAD,Low Impact Expected,Manufacturing PMI,53.6,,54.9
WedJan 2,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,53.8,53.9,53.9
WedJan 2,9:56am,NZD,Low Impact Expected,GDT Price Index,2.80%,,1.70%
WedJan 2,All Day,JPY,Non-Economic,Bank Holiday,,,
ThuJan 3,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,-50.6K,-56.3K,-1.8K
ThuJan 3,3:30am,CHF,Low Impact Expected,Manufacturing PMI,57.8,57,57.7
ThuJan 3,4:00am,EUR,Low Impact Expected,M3 Money Supply y/y,3.70%,3.80%,3.90%
ThuJan 3,4:07am,EUR,Low Impact Expected,Private Loans y/y,3.30%,3.30%,3.20%
ThuJan 3,4:30am,GBP,Low Impact Expected,Construction PMI,52.8,52.9,53.4
ThuJan 3,4:55am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.40|1.3,,1.46|1.9
ThuJan 3,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,35.30%,,51.50%
ThuJan 3,8:15am,USD,Medium Impact Expected,ADP Non-Farm Employment Change,271K,179K,157K
ThuJan 3,8:30am,USD,Low Impact Expected,Unemployment Claims,231K,220K,221K
ThuJan 3,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,54.1,57.7,59.3
ThuJan 3,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,54.9,57.9,60.7
ThuJan 3,All Day,USD,Low Impact Expected,Total Vehicle Sales,17.6M,17.2M,17.5M
ThuJan 3,All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,17.5M,17.2M,17.4M
ThuJan 3,7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,0.30%,,0.10%
ThuJan 3,7:30pm,JPY,Low Impact Expected,Final Manufacturing PMI,52.6,52.4,52.4
ThuJan 3,8:45pm,CNY,Medium Impact Expected,Caixin Services PMI,53.9,52.9,53.8
FriJan 4,1:59am,GBP,Low Impact Expected,Nationwide HPI m/m,-0.70%,0.10%,0.40%
FriJan 4,2:45am,EUR,Low Impact Expected,French Prelim CPI m/m,0.00%,0.10%,-0.20%
FriJan 4,3:15am,EUR,Low Impact Expected,Spanish Services PMI,54,53.8,54
FriJan 4,3:45am,EUR,Low Impact Expected,Italian Services PMI,50.5,50.2,50.3
FriJan 4,3:50am,EUR,Low Impact Expected,French Final Services PMI,49,49.7,49.6
FriJan 4,3:55am,EUR,Low Impact Expected,German Final Services PMI,51.8,52.5,52.5
FriJan 4,3:55am,EUR,Low Impact Expected,German Unemployment Change,-14K,-12K,-16K
FriJan 4,4:00am,EUR,Low Impact Expected,Final Services PMI,51.2,51.4,51.4
FriJan 4,4:30am,GBP,Medium Impact Expected,Final Services PMI,51.2,50.7,50.4
FriJan 4,4:30am,GBP,Medium Impact Expected,Net Lending to Individuals m/m,4.4B,4.9B,4.8B
FriJan 4,4:30am,GBP,Low Impact Expected,M4 Money Supply m/m,0.00%,0.60%,0.70%
FriJan 4,4:30am,GBP,Low Impact Expected,Mortgage Approvals,64K,66K,67K
FriJan 4,5:00am,EUR,Medium Impact Expected,CPI Flash Estimate y/y,1.60%,1.80%,1.90%
FriJan 4,5:00am,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,1.00%,1.00%,1.00%
FriJan 4,5:00am,EUR,Low Impact Expected,PPI m/m,-0.30%,-0.20%,0.80%
FriJan 4,5:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,-0.10%,0.10%,-0.20%
FriJan 4,8:30am,CAD,High Impact Expected,Employment Change,9.3K,6.8K,94.1K
FriJan 4,8:30am,CAD,High Impact Expected,Unemployment Rate,5.60%,5.70%,5.60%
FriJan 4,8:30am,CAD,Medium Impact Expected,RMPI m/m,-11.70%,0.40%,-2.30%
FriJan 4,8:30am,CAD,Low Impact Expected,IPPI m/m,-0.80%,0.10%,0.20%
FriJan 4,8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.40%,0.30%,0.20%
FriJan 4,8:30am,USD,High Impact Expected,Non-Farm Employment Change,312K,179K,176K
FriJan 4,8:30am,USD,High Impact Expected,Unemployment Rate,3.90%,3.70%,3.70%
FriJan 4,9:45am,USD,Low Impact Expected,Final Services PMI,54.4,53.5,53.4
FriJan 4,10:15am,USD,High Impact Expected,Fed Chair Powell Speaks,,,
FriJan 4,10:30am,USD,Low Impact Expected,Natural Gas Storage,-20B,-43B,-48B
FriJan 4,11:00am,USD,Low Impact Expected,Crude Oil Inventories,0.0M,-2.8M,0.0M
SunJan 6,4:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,49.5,,51.3
SunJan 6,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,4.80%,5.80%,6.10%
MonJan 7,2:00am,EUR,Low Impact Expected,German Factory Orders m/m,-1.00%,-0.20%,0.20%
MonJan 7,2:00am,EUR,Low Impact Expected,German Retail Sales m/m,1.40%,0.40%,0.10%
MonJan 7,4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-1.5,-2,-0.3
MonJan 7,5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.60%,0.20%,0.60%
MonJan 7,10:00am,CAD,Medium Impact Expected,Ivey PMI,59.7,58.1,57.2
MonJan 7,10:00am,USD,High Impact Expected,ISM Services PMI,57.6,59.6,60.7
MonJan 7,7:30pm,AUD,Medium Impact Expected,Trade Balance,1.93B,2.18B,2.01B
MonJan 7,7:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,0.00%,,-0.40%
MonJan 7,10:35pm,JPY,Low Impact Expected,10-y Bond Auction,0.02|4.0,,0.07|3.8
TueJan 8,12:07am,JPY,Low Impact Expected,Consumer Confidence,42.7,42.8,42.9
TueJan 8,1:45am,CHF,Low Impact Expected,Unemployment Rate,2.40%,2.40%,2.40%
TueJan 8,2:00am,EUR,Low Impact Expected,German Industrial Production m/m,-1.90%,0.30%,-0.80%
TueJan 8,2:30am,CHF,Low Impact Expected,Retail Sales y/y,-0.50%,-0.70%,1.00%
TueJan 8,2:45am,EUR,Low Impact Expected,French Trade Balance,-5.1B,-4.9B,-4.1B
TueJan 8,3:30am,GBP,Low Impact Expected,Halifax HPI m/m,2.20%,0.50%,-1.20%
TueJan 8,5:20am,USD,Low Impact Expected,NFIB Small Business Index,104.4,103.1,104.8
TueJan 8,5:37am,GBP,Low Impact Expected,10-y Bond Auction,1.27|2.2,,1.49|2.0
TueJan 8,8:30am,CAD,High Impact Expected,Trade Balance,-2.1B,-2.1B,-0.9B
TueJan 8,10:00am,USD,Low Impact Expected,JOLTS Job Openings,6.89M,7.07M,7.13M
TueJan 8,3:00pm,USD,Low Impact Expected,Consumer Credit m/m,22.1B,17.3B,25.0B
TueJan 8,4:30pm,AUD,Low Impact Expected,AIG Services Index,52.1,,55.1
TueJan 8,7:00pm,JPY,Medium Impact Expected,Average Cash Earnings y/y,2.00%,1.30%,1.50%
TueJan 8,7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-0.20%,,-0.50%
TueJan 8,7:30pm,AUD,Medium Impact Expected,Building Approvals m/m,-9.10%,-0.30%,-1.50%
TueJan 8,9:00pm,USD,High Impact Expected,President Trump Speaks,,,
WedJan 9,2:00am,EUR,Low Impact Expected,German Trade Balance,19.0B,17.9B,17.3B
WedJan 9,2:30am,CHF,Low Impact Expected,CPI m/m,-0.30%,-0.20%,-0.30%
WedJan 9,3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,729B,,749B
WedJan 9,4:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,10.50%,10.50%,10.60%
WedJan 9,5:00am,EUR,Low Impact Expected,Unemployment Rate,7.90%,8.10%,8.00%
WedJan 9,5:32am,EUR,Low Impact Expected,German 10-y Bond Auction,0.29|1.6,,0.34|1.6
WedJan 9,8:13am,CAD,Low Impact Expected,Housing Starts,213K,207K,224K
WedJan 9,9:00am,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
WedJan 9,10:00am,CAD,High Impact Expected,BOC Monetary Policy Report,,,
WedJan 9,10:00am,CAD,High Impact Expected,BOC Rate Statement,,,
WedJan 9,10:00am,CAD,High Impact Expected,Overnight Rate,1.75%,1.75%,1.75%
WedJan 9,10:30am,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
WedJan 9,10:30am,USD,Low Impact Expected,Crude Oil Inventories,-1.7M,-2.4M,0.0M
WedJan 9,11:15am,CAD,High Impact Expected,BOC Press Conference,,,
WedJan 9,11:30am,USD,Medium Impact Expected,FOMC Member Rosengren Speaks,,,
WedJan 9,1:01pm,USD,Low Impact Expected,10-y Bond Auction,2.73|2.5,,2.92|2.4
WedJan 9,2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
WedJan 9,7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,-0.70%,-0.30%,-0.50%
WedJan 9,8:30pm,CNY,Low Impact Expected,CPI y/y,1.90%,2.10%,2.20%
WedJan 9,8:30pm,CNY,Low Impact Expected,PPI y/y,0.90%,1.60%,2.70%
WedJan 9,10:35pm,JPY,Low Impact Expected,30-y Bond Auction,0.72|4.0,,0.79|3.8
ThuJan 10,12:00am,JPY,Low Impact Expected,Leading Indicators,99.30%,99.50%,99.60%
ThuJan 10,2:45am,EUR,Low Impact Expected,French Industrial Production m/m,-1.30%,0.00%,1.30%
ThuJan 10,4:05am,EUR,Low Impact Expected,Italian Retail Sales m/m,0.70%,0.20%,0.20%
ThuJan 10,5:01am,EUR,Low Impact Expected,French 10-y Bond Auction,0.68|1.7,,0.82|1.8
ThuJan 10,Tentative,GBP,High Impact Expected,Monetary Policy Report Hearings,,,
ThuJan 10,7:30am,EUR,Medium Impact Expected,ECB Monetary Policy Meeting Accounts,,,
ThuJan 10,8:30am,CAD,Low Impact Expected,Building Permits m/m,2.60%,-0.50%,-0.40%
ThuJan 10,8:30am,CAD,Low Impact Expected,NHPI m/m,0.00%,0.00%,0.00%
ThuJan 10,8:30am,USD,Low Impact Expected,Unemployment Claims,216K,226K,233K
ThuJan 10,10:30am,USD,Low Impact Expected,Natural Gas Storage,-91B,-62B,-20B
ThuJan 10,12:40pm,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
ThuJan 10,12:45pm,USD,High Impact Expected,Fed Chair Powell Speaks,,,
