Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
MonApr 1,1:30am,AUD,Low Impact Expected,Commodity Prices y/y,11.00%,,9.70%
MonApr 1,2:30am,CHF,Low Impact Expected,Retail Sales y/y,-0.20%,0.30%,-0.20%
MonApr 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,50.9,49.8,49.9
MonApr 1,3:30am,CHF,Low Impact Expected,Manufacturing PMI,50.3,53.6,55.4
MonApr 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,47.4,47.6,47.7
MonApr 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,49.7,49.8,49.8
MonApr 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,44.1,44.7,44.7
MonApr 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,47.5,47.6,47.6
MonApr 1,4:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,10.70%,10.50%,10.50%
MonApr 1,4:30am,GBP,Medium Impact Expected,Final Manufacturing PMI,55.1,51.2,52.1
MonApr 1,5:00am,EUR,Medium Impact Expected,CPI Flash Estimate y/y,1.40%,1.50%,1.50%
MonApr 1,5:00am,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,0.80%,0.90%,1.00%
MonApr 1,5:00am,EUR,Low Impact Expected,Unemployment Rate,7.80%,7.80%,7.80%
MonApr 1,8:30am,USD,High Impact Expected,Core Retail Sales m/m,-0.40%,0.40%,1.40%
MonApr 1,8:30am,USD,High Impact Expected,Retail Sales m/m,-0.20%,0.30%,0.70%
MonApr 1,9:30am,CAD,Low Impact Expected,Manufacturing PMI,50.5,,52.6
MonApr 1,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,52.4,52.5,52.5
MonApr 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,55.3,54.4,54.2
MonApr 1,10:00am,USD,Low Impact Expected,Business Inventories m/m,0.80%,0.40%,0.80%
MonApr 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,1.00%,0.10%,2.50%
MonApr 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,54.3,55,49.4
MonApr 1,2:55pm,CAD,High Impact Expected,BOC Gov Poloz Speaks,,,
MonApr 1,5:00pm,NZD,Medium Impact Expected,NZIER Business Confidence,-29,,-17
MonApr 1,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,3.80%,4.40%,4.60%
MonApr 1,8:30pm,AUD,High Impact Expected,Building Approvals m/m,19.10%,-1.70%,2.30%
MonApr 1,11:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
MonApr 1,11:30pm,AUD,Medium Impact Expected,Cash Rate,1.50%,1.50%,1.50%
MonApr 1,11:35pm,JPY,Low Impact Expected,10-y Bond Auction,-0.06|5.1,,0.00|4.3
TueApr 2,2:30am,CHF,Low Impact Expected,CPI m/m,0.50%,0.40%,0.40%
TueApr 2,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,-34.0K,-28.5K,3.3K
TueApr 2,4:30am,AUD,High Impact Expected,Annual Budget Release,,,
TueApr 2,4:30am,GBP,Low Impact Expected,Construction PMI,49.7,49.8,49.5
TueApr 2,5:00am,EUR,Low Impact Expected,PPI m/m,0.10%,0.20%,0.30%
TueApr 2,8:30am,USD,High Impact Expected,Core Durable Goods Orders m/m,0.10%,0.30%,-0.20%
TueApr 2,8:30am,USD,Medium Impact Expected,Durable Goods Orders m/m,-1.60%,-1.10%,0.30%
TueApr 2,All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,17.5M,16.8M,16.6M
TueApr 2,10:49am,NZD,Low Impact Expected,GDT Price Index,0.80%,,1.90%
TueApr 2,All Day,USD,Low Impact Expected,Total Vehicle Sales,17.5M,16.7M,16.6M
TueApr 2,5:30pm,AUD,Low Impact Expected,AIG Services Index,44.8,,44.5
TueApr 2,7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,0.90%,,0.70%
TueApr 2,8:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.40%,,2.80%
TueApr 2,8:30pm,AUD,High Impact Expected,Retail Sales m/m,0.80%,0.30%,0.10%
TueApr 2,8:30pm,AUD,Medium Impact Expected,Trade Balance,4.80B,3.71B,4.35B
TueApr 2,9:45pm,CNY,Medium Impact Expected,Caixin Services PMI,54.4,52.3,51.1
WedApr 3,3:15am,EUR,Low Impact Expected,Spanish Services PMI,56.8,55,54.5
WedApr 3,3:45am,EUR,Low Impact Expected,Italian Services PMI,53.1,50.9,50.4
WedApr 3,3:50am,EUR,Low Impact Expected,French Final Services PMI,49.1,48.7,48.7
WedApr 3,3:55am,EUR,Low Impact Expected,German Final Services PMI,55.4,54.9,54.9
WedApr 3,4:00am,EUR,Low Impact Expected,Final Services PMI,53.3,52.7,52.7
WedApr 3,4:30am,GBP,Medium Impact Expected,Final Services PMI,48.9,51,51.3
WedApr 3,5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.40%,0.20%,0.90%
WedApr 3,8:15am,USD,Medium Impact Expected,ADP Non-Farm Employment Change,129K,184K,197K
WedApr 3,9:45am,USD,Low Impact Expected,Final Services PMI,55.3,54.8,54.8
WedApr 3,10:00am,USD,Medium Impact Expected,ISM Services PMI,56.1,58.1,59.7
WedApr 3,10:30am,USD,Low Impact Expected,Crude Oil Inventories,7.2M,-0.7M,2.8M
WedApr 3,11:35pm,JPY,Low Impact Expected,30-y Bond Auction,0.54|4.6,,0.62|4.6
ThuApr 4,2:00am,EUR,Low Impact Expected,German Factory Orders m/m,-4.20%,0.30%,-2.10%
ThuApr 4,4:30am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-6.2B,-7.7B,-7.3B
ThuApr 4,4:58am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.12|1.3,,1.10|1.5
