Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
FriApr 1,1:30am,AUD,Low Impact Expected,Commodity Prices y/y,40.90%,,34.00%
FriApr 1,2:30am,CHF,Low Impact Expected,CPI m/m,0.60%,0.50%,0.70%
FriApr 1,2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-37.6B,,-15.9B
FriApr 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,54.2,55.8,56.9
FriApr 1,3:30am,CHF,Low Impact Expected,Manufacturing PMI,64,61,62.6
FriApr 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,55.8,57,58.3
FriApr 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,54.7,54.8,54.8
FriApr 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,56.9,57.6,57.6
FriApr 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,56.5,57,57
FriApr 1,4:30am,GBP,Low Impact Expected,Final Manufacturing PMI,55.2,55.5,55.5
FriApr 1,5:00am,EUR,Medium Impact Expected,CPI Flash Estimate y/y,7.50%,6.70%,5.90%
FriApr 1,5:00am,EUR,Low Impact Expected,Core CPI Flash Estimate y/y,3.00%,3.10%,2.70%
FriApr 1,8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.40%,0.40%,0.10%
FriApr 1,8:30am,USD,High Impact Expected,Non-Farm Employment Change,431K,492K,750K
FriApr 1,8:30am,USD,High Impact Expected,Unemployment Rate,3.60%,3.70%,3.80%
FriApr 1,9:30am,CAD,Low Impact Expected,Manufacturing PMI,58.9,,56.6
FriApr 1,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,58.8,58.5,58.5
FriApr 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,57.1,58.9,58.6
FriApr 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,0.50%,1.00%,1.60%
FriApr 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,87.1,79.9,75.6
FriApr 1,All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,13.3M,13.4M,14.1M
FriApr 1,10:45am,USD,Low Impact Expected,President Biden Speaks,,,
SatApr 2,10:00am,NZD,Non-Economic,Daylight Saving Time Shift,,,
SatApr 2,12:00pm,AUD,Non-Economic,Daylight Saving Time Shift,,,
SatApr 2,1:00pm,USD,Low Impact Expected,FOMC Member Williams Speaks,,,
SunApr 3,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,7.90%,8.00%,7.60%
SunApr 3,All Day,CNY,Non-Economic,Bank Holiday,,,
SunApr 3,9:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.80%,,0.50%
SunApr 3,9:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,0.40%,,10.90%
MonApr 4,2:00am,EUR,Low Impact Expected,German Trade Balance,11.5B,11.3B,8.8B
MonApr 4,3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-2.9K,15.3K,-11.4K
MonApr 4,4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-18,-9.3,-7
MonApr 4,5:05am,GBP,Medium Impact Expected,BOE Gov Bailey Speaks,,,
MonApr 4,All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
MonApr 4,8:30am,CAD,Low Impact Expected,Building Permits m/m,21.00%,6.90%,-8.20%
MonApr 4,10:00am,GBP,Low Impact Expected,MPC Member Cunliffe Speaks,,,
MonApr 4,10:00am,USD,Low Impact Expected,Factory Orders m/m,-0.50%,-0.50%,1.50%
MonApr 4,10:30am,CAD,Medium Impact Expected,BOC Business Outlook Survey,,,
MonApr 4,6:30pm,AUD,Low Impact Expected,AIG Construction Index,56.5,,53.4
MonApr 4,7:30pm,JPY,Low Impact Expected,Average Cash Earnings y/y,1.20%,0.60%,1.10%
