Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
SunDec 2,4:45pm,NZD,Low Impact Expected,Overseas Trade Index q/q,-3.20%,-1.70%,-2.60%
SunDec 2,5:18pm,AUD,Low Impact Expected,AIG Manufacturing Index,43.6,,45.2
SunDec 2,6:30pm,AUD,Medium Impact Expected,MI Inflation Gauge m/m,-0.10%,,0.10%
SunDec 2,6:50pm,JPY,Medium Impact Expected,Capital Spending q/y,2.20%,3.70%,7.70%
SunDec 2,7:30pm,AUD,High Impact Expected,Retail Sales m/m,0.00%,0.40%,0.50%
SunDec 2,7:30pm,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,-2.90%,,-4.60%
SunDec 2,7:30pm,AUD,Medium Impact Expected,Company Operating Profits q/q,-2.90%,-2.80%,-0.30%
SunDec 2,8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,55.6,,55.5
SunDec 2,8:45pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,50.5,50.4,50.4
SunDec 2,11:00pm,JPY,Medium Impact Expected,BOJ Gov Shirakawa Speaks,,,
MonDec 3,12:30am,AUD,Low Impact Expected,Commodity Prices y/y,-11.60%,,-16.20%
MonDec 3,3:15am,CHF,Medium Impact Expected,Retail Sales y/y,2.70%,3.90%,5.00%
MonDec 3,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,45.3,43.9,43.5
MonDec 3,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,48.5,47.3,46.1
MonDec 3,3:45am,EUR,Medium Impact Expected,Italian Manufacturing PMI,45.1,45.9,45.5
MonDec 3,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,44.5,44.7,44.7
MonDec 3,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,46.8,46.8,46.8
MonDec 3,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,46.2,46.2,46.2
MonDec 3,All Day,EUR,Medium Impact Expected,Eurogroup Meetings,,,
MonDec 3,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,49.1,48.1,47.3
MonDec 3,9:00am,USD,Low Impact Expected,Final Manufacturing PMI,52.8,51.7,52.4
MonDec 3,9:30am,CAD,Low Impact Expected,Manufacturing PMI,50.4,,51.4
MonDec 3,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,49.5,51.5,51.7
MonDec 3,10:00am,USD,Low Impact Expected,Construction Spending m/m,1.40%,0.50%,0.50%
MonDec 3,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,52.5,54.3,55
MonDec 3,All Day,USD,Low Impact Expected,Total Vehicle Sales,15.5M,14.8M,14.3M
MonDec 3,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,5.00%,11.40%,10.80%
MonDec 3,7:00pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,0.40%,,-0.10%
MonDec 3,7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.00%,,1.40%
MonDec 3,7:30pm,AUD,High Impact Expected,Building Approvals m/m,-7.60%,-1.80%,9.50%
MonDec 3,7:30pm,AUD,Medium Impact Expected,Current Account,-14.9B,-14.7B,-12.4B
MonDec 3,8:30pm,JPY,Medium Impact Expected,Average Cash Earnings y/y,0.20%,0.40%,-0.50%
MonDec 3,10:30pm,AUD,High Impact Expected,Cash Rate,3.00%,3.00%,3.25%
MonDec 3,10:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
MonDec 3,10:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.73|3.8,,0.78|4.1
TueDec 4,3:00am,EUR,High Impact Expected,Spanish Unemployment Change,74.3K,90.0K,128.2K
TueDec 4,All Day,EUR,Medium Impact Expected,ECOFIN Meetings,,,
TueDec 4,4:30am,GBP,High Impact Expected,Construction PMI,49.3,50.7,50.9
TueDec 4,4:30am,GBP,Low Impact Expected,FPC Meeting Minutes,,,
TueDec 4,5:00am,EUR,Low Impact Expected,PPI m/m,0.10%,0.00%,0.20%
TueDec 4,8:30am,NZD,Low Impact Expected,GDT Price Index,-2.10%,,-0.80%
TueDec 4,9:00am,CAD,High Impact Expected,BOC Rate Statement,,,
TueDec 4,9:00am,CAD,High Impact Expected,Overnight Rate,1.00%,1.00%,1.00%
TueDec 4,10:45am,USD,Low Impact Expected,FOMC Member Tarullo Speaks,,,
TueDec 4,5:24pm,AUD,Medium Impact Expected,AIG Services Index,47.1,,42.8
TueDec 4,7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,1.50%,,1.50%
TueDec 4,7:30pm,AUD,High Impact Expected,GDP q/q,0.50%,0.60%,0.60%
TueDec 4,8:45pm,CNY,Low Impact Expected,Caixin Services PMI,52.1,,53.5
WedDec 5,3:15am,EUR,Medium Impact Expected,Spanish Services PMI,42.4,41,41.2
WedDec 5,3:45am,EUR,Medium Impact Expected,Italian Services PMI,44.6,46,46
WedDec 5,3:50am,EUR,Low Impact Expected,French Final Services PMI,45.8,46.1,46.1
WedDec 5,3:55am,EUR,Low Impact Expected,German Final Services PMI,49.7,48,48
