Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
WedFeb 1,12:30am,AUD,Medium Impact Expected,Commodity Prices y/y,6.00%,,9.60%
WedFeb 1,2:00am,GBP,Medium Impact Expected,Nationwide HPI m/m,-0.20%,-0.10%,-0.20%
WedFeb 1,3:15am,CHF,High Impact Expected,Retail Sales y/y,0.60%,1.60%,1.80%
WedFeb 1,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,45.1,,43.7
WedFeb 1,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,47.3,51.7,50.7
WedFeb 1,3:45am,EUR,Medium Impact Expected,Italian Manufacturing PMI,46.8,45.4,44.3
WedFeb 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,48.5,48.5,48.5
WedFeb 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,51,50.9,50.9
WedFeb 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,48.8,48.7,48.7
WedFeb 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,52.1,50.1,49.7
WedFeb 1,5:00am,EUR,Medium Impact Expected,CPI Flash Estimate y/y,2.70%,2.70%,2.70%
WedFeb 1,5:34am,EUR,Medium Impact Expected,German 10-y Bond Auction,1.82|1.4,,1.93|1.3
WedFeb 1,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,170K,189K,292K
WedFeb 1,8:30am,NZD,Low Impact Expected,GDT Price Index,-1.40%,,1.00%
WedFeb 1,9:30am,CAD,Low Impact Expected,Manufacturing PMI,50.6,,54
WedFeb 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,54.1,54.6,53.9
WedFeb 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,1.50%,0.70%,0.40%
WedFeb 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,55.5,49.5,47.5
WedFeb 1,10:30am,USD,Medium Impact Expected,Crude Oil Inventories,4.2M,3.2M,3.6M
WedFeb 1,11:04am,USD,Low Impact Expected,President Obama Speaks,,,
WedFeb 1,All Day,USD,Low Impact Expected,Total Vehicle Sales,14.2M,13.4M,13.6M
WedFeb 1,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,15.00%,14.60%,13.50%
WedFeb 1,7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.20%,,-0.80%
WedFeb 1,7:30pm,AUD,High Impact Expected,Building Approvals m/m,-1.00%,2.10%,10.10%
WedFeb 1,7:30pm,AUD,High Impact Expected,Trade Balance,1.71B,1.22B,1.34B
WedFeb 1,10:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.96|3.7,,0.97|3.0
ThuFeb 2,2:00am,CHF,Medium Impact Expected,Trade Balance,2.07B,2.85B,2.95B
ThuFeb 2,3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,177.5K,,1.9K
ThuFeb 2,4:30am,GBP,High Impact Expected,Construction PMI,51.4,52.8,53.2
ThuFeb 2,5:00am,EUR,Low Impact Expected,PPI m/m,-0.20%,-0.10%,0.20%
ThuFeb 2,5:02am,EUR,Medium Impact Expected,French 10-y Bond Auction,3.13|1.7,,3.29|1.6
ThuFeb 2,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,38.90%,,30.60%
ThuFeb 2,8:30am,USD,High Impact Expected,Unemployment Claims,367K,373K,379K
ThuFeb 2,8:30am,USD,Medium Impact Expected,Prelim Nonfarm Productivity q/q,0.70%,1.00%,2.30%
ThuFeb 2,8:30am,USD,Medium Impact Expected,Prelim Unit Labor Costs q/q,1.20%,0.90%,-2.50%
ThuFeb 2,9:00am,GBP,Medium Impact Expected,MPC Member Posen Speaks,,,
ThuFeb 2,10:00am,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
ThuFeb 2,10:30am,USD,Low Impact Expected,Natural Gas Storage,-132B,-129B,-192B
ThuFeb 2,4:49pm,NZD,Low Impact Expected,Visitor Arrivals m/m,4.50%,,-11.10%
ThuFeb 2,5:20pm,AUD,Medium Impact Expected,AIG Services Index,51.9,,49
ThuFeb 2,8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,52.9,,56
ThuFeb 2,9:30pm,CNY,Low Impact Expected,Caixin Services PMI,52.5,,52.5
FriFeb 3,3:15am,EUR,Low Impact Expected,Spanish Services PMI,46.1,,42.1
FriFeb 3,3:45am,EUR,Low Impact Expected,Italian Services PMI,44.8,45.5,44.5
FriFeb 3,3:50am,EUR,Low Impact Expected,French Final Services PMI,52.3,51.7,51.7
FriFeb 3,3:55am,EUR,Low Impact Expected,German Final Services PMI,53.7,54.5,54.5
FriFeb 3,4:00am,EUR,Low Impact Expected,Final Services PMI,50.4,50.5,50.5
FriFeb 3,4:30am,GBP,High Impact Expected,Final Services PMI,56,53.5,54
FriFeb 3,5:00am,EUR,Medium Impact Expected,Retail Sales m/m,-0.40%,0.40%,-0.40%
FriFeb 3,5:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.30%,0.20%,0.40%
FriFeb 3,7:00am,CAD,High Impact Expected,Employment Change,2.3K,23.3K,17.5K
FriFeb 3,7:00am,CAD,High Impact Expected,Unemployment Rate,7.60%,7.50%,7.50%
FriFeb 3,8:30am,USD,High Impact Expected,Non-Farm Employment Change,243K,150K,203K
FriFeb 3,8:30am,USD,High Impact Expected,Unemployment Rate,8.30%,8.50%,8.50%
FriFeb 3,8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.20%,0.20%,0.10%
FriFeb 3,10:00am,USD,High Impact Expected,ISM Services PMI,56.8,53.1,52.6
FriFeb 3,10:00am,USD,Medium Impact Expected,Factory Orders m/m,1.10%,1.50%,2.20%
SunFeb 5,All Day,NZD,Non-Economic,Bank Holiday,,,
SunFeb 5,6:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.20%,,0.50%
SunFeb 5,7:30pm,AUD,High Impact Expected,Retail Sales m/m,-0.10%,0.20%,0.10%
