Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
ThuSep 1,1:45am,CHF,High Impact Expected,GDP q/q,0.40%,0.40%,0.60%
ThuSep 1,2:00am,EUR,Low Impact Expected,German Final GDP q/q,0.10%,0.10%,0.10%
ThuSep 1,2:00am,GBP,High Impact Expected,Nationwide HPI m/m,-0.60%,0.10%,0.30%
ThuSep 1,2:30am,AUD,Medium Impact Expected,Commodity Prices y/y,25.20%,,28.90%
ThuSep 1,3:15am,CHF,High Impact Expected,Retail Sales y/y,1.90%,4.60%,7.90%
ThuSep 1,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,45.3,,45.6
ThuSep 1,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,51.7,51.1,53.5
ThuSep 1,3:45am,EUR,Medium Impact Expected,Italian Manufacturing PMI,47,49.2,50.1
ThuSep 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,49.1,49.4,49.3
ThuSep 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,50.9,52,52
ThuSep 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,49,49.7,49.7
ThuSep 1,4:15am,GBP,Medium Impact Expected,MPC Member Fisher Speaks,,,
ThuSep 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,49,48.9,49.4
ThuSep 1,5:02am,EUR,Medium Impact Expected,French 10-y Bond Auction,2.90|1.3,,3.49|1.9
ThuSep 1,5:37am,GBP,Medium Impact Expected,10-y Bond Auction,2.76|2.0,,3.51|2.2
ThuSep 1,8:30am,USD,High Impact Expected,Unemployment Claims,409K,409K,421K
ThuSep 1,8:30am,USD,Medium Impact Expected,Revised Nonfarm Productivity q/q,-0.70%,-0.40%,-0.30%
ThuSep 1,8:30am,USD,Low Impact Expected,Revised Unit Labor Costs q/q,3.30%,2.30%,2.20%
ThuSep 1,9:30am,CAD,Low Impact Expected,Manufacturing PMI,54.9,,53.1
ThuSep 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,50.6,48.7,50.9
ThuSep 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,-1.30%,0.20%,1.60%
ThuSep 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,55.5,55.1,59
ThuSep 1,10:30am,USD,Low Impact Expected,Natural Gas Storage,55B,61B,73B
ThuSep 1,All Day,USD,Low Impact Expected,Total Vehicle Sales,12.1M,12.1M,12.2M
ThuSep 1,12:00pm,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
ThuSep 1,7:50pm,JPY,Medium Impact Expected,Capital Spending q/y,-7.80%,1.10%,3.30%
ThuSep 1,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,15.90%,14.20%,15.00%
FriSep 2,3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,51.2K,,-42.1K
FriSep 2,4:30am,GBP,High Impact Expected,Construction PMI,52.6,52.9,53.5
FriSep 2,5:00am,EUR,Low Impact Expected,PPI m/m,0.50%,0.60%,0.00%
FriSep 2,8:30am,USD,High Impact Expected,Non-Farm Employment Change,0K,74K,85K
FriSep 2,8:30am,USD,High Impact Expected,Unemployment Rate,9.10%,9.10%,9.10%
FriSep 2,8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,-0.10%,0.20%,0.50%
FriSep 2,9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,57.6,,59.6
SunSep 4,7:25pm,AUD,Medium Impact Expected,AIG Services Index,52.1,,48.8
SunSep 4,8:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,-0.10%,,0.30%
SunSep 4,9:30pm,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,-0.60%,,-0.60%
SunSep 4,9:30pm,AUD,Medium Impact Expected,Company Operating Profits q/q,6.70%,3.10%,-2.20%
SunSep 4,10:30pm,CNY,Low Impact Expected,Caixin Services PMI,50.6,,53.5
MonSep 5,3:15am,EUR,Low Impact Expected,Spanish Services PMI,45.2,,46.5
MonSep 5,3:45am,EUR,Low Impact Expected,Italian Services PMI,48.4,48.4,48.6
MonSep 5,3:50am,EUR,Low Impact Expected,French Final Services PMI,56.8,56.1,56.1
MonSep 5,3:55am,EUR,Low Impact Expected,German Final Services PMI,51.1,50.4,50.4
MonSep 5,4:00am,EUR,Low Impact Expected,Final Services PMI,51.5,51.5,51.5
MonSep 5,4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-15.4,-17.5,-13.5
MonSep 5,4:30am,GBP,High Impact Expected,Final Services PMI,51.1,54.3,55.4
MonSep 5,5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.20%,0.10%,0.70%
MonSep 5,All Day,CAD,Non-Economic,Bank Holiday,,,
MonSep 5,All Day,USD,Non-Economic,Bank Holiday,,,
MonSep 5,7:01pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,-0.60%,,0.60%
MonSep 5,9:30pm,AUD,High Impact Expected,Home Loans m/m,1.00%,1.60%,0.60%
MonSep 5,9:30pm,AUD,Medium Impact Expected,Current Account,-7.4B,-7.3B,-11.1B
MonSep 5,11:45pm,JPY,Low Impact Expected,30-y Bond Auction,2.01|3.6,,2.09|3.7
TueSep 6,12:30am,AUD,High Impact Expected,Cash Rate,4.75%,4.75%,4.75%
TueSep 6,12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
TueSep 6,3:00am,CHF,High Impact Expected,Foreign Currency Reserves,253B,,182B
TueSep 6,3:15am,CHF,Medium Impact Expected,CPI m/m,-0.30%,-0.10%,-0.80%
TueSep 6,5:00am,EUR,Low Impact Expected,Revised GDP q/q,0.20%,0.20%,0.20%
TueSep 6,6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,-2.80%,-1.40%,1.80%
TueSep 6,10:00am,USD,High Impact Expected,ISM Services PMI,53.3,51.2,52.7
TueSep 6,10:30am,NZD,Low Impact Expected,GDT Price Index,-0.70%,,-1.30%
TueSep 6,1:10pm,USD,Medium Impact Expected,FOMC Member Kocherlakota Speaks,,,
TueSep 6,7:00pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,2.70%,,2.80%
TueSep 6,7:22pm,AUD,Low Impact Expected,AIG Construction Index,32.1,,36.1
TueSep 6,7:30pm,AUD,High Impact Expected,RBA Gov Stevens Speaks,,,
TueSep 6,9:30pm,AUD,High Impact Expected,GDP q/q,1.20%,1.00%,-0.90%
TueSep 6,11:21pm,JPY,High Impact Expected,Monetary Policy Statement,,,
TueSep 6,11:21pm,JPY,High Impact Expected,Overnight Call Rate,<0.10%,<0.10%,<0.10%
WedSep 7,1:02am,JPY,Low Impact Expected,Leading Indicators,106.00%,105.90%,103.30%
WedSep 7,3:00am,GBP,High Impact Expected,Halifax HPI m/m,-1.20%,0.50%,0.20%
WedSep 7,3:17am,JPY,High Impact Expected,BOJ Press Conference,,,
WedSep 7,4:00am,EUR,High Impact Expected,German Constitutional Court Ruling,,,
WedSep 7,4:30am,GBP,High Impact Expected,Manufacturing Production m/m,0.10%,0.10%,-0.40%
WedSep 7,4:30am,GBP,Low Impact Expected,Industrial Production m/m,-0.20%,0.00%,0.00%
WedSep 7,6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,4.00%,0.60%,-1.00%
WedSep 7,9:00am,CAD,High Impact Expected,BOC Rate Statement,,,
WedSep 7,9:00am,CAD,High Impact Expected,Overnight Rate,1.00%,1.00%,1.00%
WedSep 7,10:00am,CAD,High Impact Expected,Ivey PMI,56.4,46.7,46.8
WedSep 7,10:00am,GBP,Medium Impact Expected,NIESR GDP Estimate,0.20%,,0.60%
WedSep 7,10:00am,USD,Low Impact Expected,JOLTS Job Openings,3.23M,,3.17M
WedSep 7,11:15am,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
WedSep 7,2:00pm,USD,Medium Impact Expected,Beige Book,,,
WedSep 7,7:50pm,JPY,Medium Impact Expected,Core Machinery Orders m/m,-8.20%,-3.90%,7.70%
WedSep 7,7:50pm,JPY,Low Impact Expected,Bank Lending y/y,-0.50%,,-0.60%
WedSep 7,7:50pm,JPY,Low Impact Expected,Current Account,0.75T,0.99T,0.92T
WedSep 7,9:30pm,AUD,High Impact Expected,Employment Change,-9.7K,10.7K,-4.1K
WedSep 7,9:30pm,AUD,High Impact Expected,Unemployment Rate,5.30%,5.10%,5.10%
ThuSep 8,1:00am,JPY,Medium Impact Expected,BOJ Monthly Report,,,
ThuSep 8,1:00am,JPY,Low Impact Expected,Economy Watchers Sentiment,47.3,54.3,52.6
ThuSep 8,1:30am,EUR,Low Impact Expected,French Final Private Payrolls q/q,0.20%,0.40%,0.40%
ThuSep 8,1:45am,CHF,Low Impact Expected,Unemployment Rate,3.00%,3.00%,3.00%
ThuSep 8,2:00am,EUR,Low Impact Expected,German Trade Balance,10.1B,11.0B,11.5B
ThuSep 8,2:00am,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,15.30%,,34.60%
ThuSep 8,2:45am,EUR,Low Impact Expected,French Trade Balance,-6.5B,-5.8B,-5.4B
ThuSep 8,7:00am,GBP,High Impact Expected,Asset Purchase Facility,200B,200B,200B
ThuSep 8,7:00am,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.50%
ThuSep 8,7:45am,EUR,High Impact Expected,Main Refinancing Rate,1.50%,1.50%,1.50%
ThuSep 8,8:30am,CAD,High Impact Expected,Building Permits m/m,-0.60%,0.20%,2.80%
ThuSep 8,8:30am,CAD,High Impact Expected,Trade Balance,-0.8B,-0.8B,-1.4B
ThuSep 8,8:30am,CAD,Medium Impact Expected,NHPI m/m,0.10%,0.40%,0.30%
ThuSep 8,8:30am,EUR,High Impact Expected,ECB Press Conference,,,
ThuSep 8,8:30am,USD,High Impact Expected,Trade Balance,-44.8B,-50.6B,-51.6B
ThuSep 8,8:30am,USD,High Impact Expected,Unemployment Claims,414K,407K,412K
ThuSep 8,10:30am,USD,Low Impact Expected,Natural Gas Storage,64B,60B,55B
ThuSep 8,11:00am,USD,Medium Impact Expected,Crude Oil Inventories,-4.0M,-1.9M,5.3M
ThuSep 8,1:30pm,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
ThuSep 8,3:00pm,USD,Low Impact Expected,Consumer Credit m/m,12.0B,6.3B,11.3B
ThuSep 8,7:00pm,USD,Low Impact Expected,President Obama Speaks,,,
ThuSep 8,7:50pm,JPY,Medium Impact Expected,Final GDP q/q,-0.50%,-0.50%,-0.30%
ThuSep 8,7:50pm,JPY,Low Impact Expected,Final GDP Price Index y/y,-2.20%,-2.20%,-2.20%
ThuSep 8,7:50pm,JPY,Low Impact Expected,M2 Money Stock y/y,2.70%,2.90%,3.00%
ThuSep 8,9:30pm,CNY,High Impact Expected,CPI y/y,6.20%,6.30%,6.50%
ThuSep 8,9:30pm,CNY,Medium Impact Expected,PPI y/y,7.30%,7.20%,7.50%
FriSep 9,1:00am,JPY,Low Impact Expected,Consumer Confidence,37,41.3,37
FriSep 9,1:32am,CNY,Medium Impact Expected,Fixed Asset Investment ytd/y,25.00%,25.20%,25.40%
FriSep 9,1:32am,CNY,Medium Impact Expected,Industrial Production y/y,13.50%,14.20%,14.00%
FriSep 9,1:32am,CNY,Low Impact Expected,Retail Sales y/y,17.00%,16.90%,17.20%
FriSep 9,2:00am,EUR,Low Impact Expected,German Final CPI m/m,0.00%,-0.10%,-0.10%
FriSep 9,2:00am,EUR,Low Impact Expected,German WPI m/m,0.10%,0.30%,-0.60%
FriSep 9,2:45am,EUR,Medium Impact Expected,French Industrial Production m/m,1.50%,0.40%,-1.50%
FriSep 9,2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-86.6B,,-61.3B
FriSep 9,4:30am,GBP,High Impact Expected,PPI Input m/m,-1.90%,-1.60%,0.50%
FriSep 9,4:30am,GBP,Low Impact Expected,PPI Output m/m,0.10%,0.20%,0.30%
FriSep 9,5:00am,GBP,Low Impact Expected,CB Leading Index m/m,0.30%,,0.00%
FriSep 9,Day 1,All,High Impact Expected,G7 Meetings,,,
FriSep 9,7:00am,CAD,High Impact Expected,Employment Change,-5.5K,24.2K,7.1K
FriSep 9,7:00am,CAD,High Impact Expected,Unemployment Rate,7.30%,7.30%,7.20%
FriSep 9,8:15am,CAD,High Impact Expected,Housing Starts,185K,200K,205K
FriSep 9,8:30am,CAD,Medium Impact Expected,Labor Productivity q/q,-0.90%,-0.20%,0.40%
FriSep 9,10:00am,USD,Low Impact Expected,Final Wholesale Inventories m/m,0.80%,0.80%,0.60%
FriSep 9,11:02pm,CNY,High Impact Expected,USD-Denominated Trade Balance,17.8B,24.7B,31.5B
SatSep 10,Day 2,All,High Impact Expected,G7 Meetings,,,
SatSep 10,10:22pm,CNY,Medium Impact Expected,New Loans,549B,501B,493B
SatSep 10,10:22pm,CNY,Low Impact Expected,M2 Money Supply y/y,13.50%,14.30%,14.70%
SunSep 11,6:00pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
SunSep 11,7:50pm,JPY,Medium Impact Expected,BSI Manufacturing Index,10.3,11.4,-23.3
SunSep 11,7:50pm,JPY,Medium Impact Expected,Monetary Policy Meeting Minutes,,,
SunSep 11,7:50pm,JPY,Medium Impact Expected,Tertiary Industry Activity m/m,-0.10%,0.30%,1.80%
SunSep 11,7:50pm,JPY,Low Impact Expected,PPI y/y,2.60%,2.70%,2.90%
SunSep 11,All Day,CNY,Non-Economic,Bank Holiday,,,
SunSep 11,9:30pm,AUD,High Impact Expected,Trade Balance,1.83B,1.91B,1.82B
MonSep 12,4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,-0.70%,0.20%,-0.80%
MonSep 12,4:00pm,USD,Medium Impact Expected,FOMC Member Fisher Speaks,,,
MonSep 12,6:45pm,NZD,Low Impact Expected,FPI m/m,-1.30%,,2.00%
MonSep 12,6:45pm,NZD,Low Impact Expected,Manufacturing Sales q/q,2.10%,,2.70%
MonSep 12,7:01pm,GBP,Medium Impact Expected,RICS House Price Balance,-23%,-22%,-22%
MonSep 12,8:00pm,NZD,Medium Impact Expected,REINZ HPI m/m,0.50%,,-0.60%
MonSep 12,9:30pm,AUD,Medium Impact Expected,NAB Business Confidence,-8,,2
TueSep 13,1:30am,EUR,Low Impact Expected,French Final CPI m/m,0.50%,0.30%,-0.40%
TueSep 13,4:30am,GBP,High Impact Expected,CPI y/y,4.50%,4.50%,4.40%
TueSep 13,4:30am,GBP,Medium Impact Expected,Goods Trade Balance,-8.9B,-8.5B,-8.9B
TueSep 13,4:30am,GBP,Medium Impact Expected,RPI y/y,5.20%,5.00%,5.00%
TueSep 13,4:30am,GBP,Low Impact Expected,Core CPI y/y,3.10%,3.00%,3.10%
TueSep 13,4:30am,GBP,Low Impact Expected,ONS HPI y/y,-1.50%,-1.10%,-2.00%
TueSep 13,7:00am,GBP,Medium Impact Expected,MPC Member Posen Speaks,,,
TueSep 13,7:30am,USD,Low Impact Expected,NFIB Small Business Index,88.1,88,89.9
TueSep 13,8:30am,USD,Medium Impact Expected,Import Prices m/m,-0.40%,-0.70%,0.30%
TueSep 13,10:00am,USD,Low Impact Expected,IBD/TIPP Economic Optimism,39.9,36.5,35.8
TueSep 13,11:30am,EUR,Medium Impact Expected,German Buba President Weidmann Speaks,,,
TueSep 13,1:00pm,USD,Medium Impact Expected,10-y Bond Auction,2.00|3.0,,2.14|3.2
TueSep 13,1:54pm,USD,Medium Impact Expected,Federal Budget Balance,-134.2B,-128.4B,-129.4B
TueSep 13,8:30pm,AUD,Medium Impact Expected,Westpac Consumer Sentiment,8.10%,,-3.50%
TueSep 13,9:30pm,AUD,Low Impact Expected,Housing Starts q/q,-4.70%,0.00%,3.30%
WedSep 14,12:30am,JPY,Low Impact Expected,Revised Industrial Production m/m,0.40%,0.60%,0.60%
WedSep 14,2:30am,GBP,High Impact Expected,BOE Gov King Speaks,,,
WedSep 14,3:15am,CHF,Medium Impact Expected,PPI m/m,-1.20%,-0.30%,-0.70%
WedSep 14,4:30am,GBP,High Impact Expected,Claimant Count Change,20.3K,34.8K,33.7K
WedSep 14,4:30am,GBP,Medium Impact Expected,Average Earnings Index 3m/y,2.80%,2.70%,2.70%
WedSep 14,4:30am,GBP,Low Impact Expected,Unemployment Rate,7.90%,7.90%,7.90%
WedSep 14,5:00am,EUR,Medium Impact Expected,Industrial Production m/m,1.00%,1.50%,-0.80%
WedSep 14,8:30am,CAD,Medium Impact Expected,Capacity Utilization Rate,78.40%,79.00%,78.90%
WedSep 14,8:30am,USD,High Impact Expected,Core Retail Sales m/m,0.10%,0.20%,0.30%
WedSep 14,8:30am,USD,High Impact Expected,PPI m/m,0.00%,-0.10%,0.20%
WedSep 14,8:30am,USD,High Impact Expected,Retail Sales m/m,0.00%,0.20%,0.30%
WedSep 14,8:30am,USD,Medium Impact Expected,Core PPI m/m,0.10%,0.20%,0.40%
WedSep 14,8:30am,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
WedSep 14,10:00am,USD,Medium Impact Expected,Business Inventories m/m,0.40%,0.40%,0.40%
WedSep 14,10:30am,USD,Medium Impact Expected,Crude Oil Inventories,-6.7M,-3.1M,-4.0M
WedSep 14,1:00pm,USD,Low Impact Expected,30-y Bond Auction,3.31|2.9,,3.75|2.1
