Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
ThuDec 1,12:30am,AUD,Medium Impact Expected,Commodity Prices y/y,18.1%,,19.6%
ThuDec 1,1:45am,CHF,Medium Impact Expected,GDP q/q,0.2%,0.2%,0.5%
ThuDec 1,3:00am,EUR,Medium Impact Expected,ECB President Draghi Speaks,,,
ThuDec 1,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,43.8,,43.9
ThuDec 1,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,44.8,46.6,46.9
ThuDec 1,3:45am,EUR,Medium Impact Expected,Italian Manufacturing PMI,44.0,42.8,43.3
ThuDec 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,47.3,47.6,47.6
ThuDec 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,47.9,48.0,47.9
ThuDec 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,46.4,46.4,46.4
ThuDec 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,47.6,47.1,47.8
ThuDec 1,5:01am,EUR,Medium Impact Expected,French 10-y Bond Auction,3.18|3.1,,3.22|2.2
ThuDec 1,5:30am,GBP,Medium Impact Expected,BOE Financial Stability Report,,,
ThuDec 1,5:36am,GBP,Medium Impact Expected,10-y Bond Auction,2.38|1.6,,2.24|1.8
ThuDec 1,8:30am,USD,High Impact Expected,Unemployment Claims,402K,390K,396K
ThuDec 1,9:30am,CAD,Low Impact Expected,Manufacturing PMI,53.3,,53.7
ThuDec 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,52.7,51.6,50.8
ThuDec 1,10:30am,USD,Low Impact Expected,Natural Gas Storage,-1B,11B,9B
ThuDec 1,All Day,USD,Low Impact Expected,Total Vehicle Sales,13.6M,13.4M,13.3M
ThuDec 1,6:50pm,JPY,Medium Impact Expected,Capital Spending q/y,-9.8%,-4.1%,-7.8%
FriDec 2,3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,59.5K,,134.2K
FriDec 2,3:15am,CHF,High Impact Expected,Retail Sales y/y,-0.2%,1.2%,-1.4%
FriDec 2,4:30am,GBP,High Impact Expected,Construction PMI,52.3,52.1,53.9
FriDec 2,5:00am,EUR,Low Impact Expected,PPI m/m,0.1%,0.2%,0.3%
FriDec 2,7:00am,CAD,High Impact Expected,Employment Change,-18.6K,18.1K,-54.0K
FriDec 2,8:30am,USD,High Impact Expected,Non-Farm Employment Change,120K,126K,100K
FriDec 2,9:00am,USD,Medium Impact Expected,FOMC Member Fisher Speaks,,,
FriDec 2,10:00am,USD,Medium Impact Expected,FOMC Member Plosser Speaks,,,
FriDec 2,8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,49.7,,57.7
SunDec 4,5:22pm,AUD,Medium Impact Expected,AIG Services Index,47.7,,48.8
SunDec 4,6:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,-0.1%,,0.1%
SunDec 4,7:30pm,AUD,High Impact Expected,ANZ Job Advertisements m/m,0.0%,,-0.6%
SunDec 4,9:30pm,CNY,Low Impact Expected,Caixin Services PMI,52.5,,54.1
MonDec 5,3:15am,EUR,Low Impact Expected,Spanish Services PMI,36.8,,41.8
MonDec 5,3:45am,EUR,Low Impact Expected,Italian Services PMI,45.8,44.1,43.9
MonDec 5,3:50am,EUR,Low Impact Expected,French Final Services PMI,49.6,49.3,49.3
MonDec 5,3:55am,EUR,Low Impact Expected,German Final Services PMI,50.3,51.4,51.4
MonDec 5,4:00am,EUR,Low Impact Expected,Final Services PMI,47.5,47.8,47.8
MonDec 5,4:30am,EUR,Medium Impact Expected,Sentix Investor Confidence,-24.0,-21.4,-21.2
MonDec 5,5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.4%,0.2%,-0.6%
MonDec 5,10:00am,USD,High Impact Expected,ISM Services PMI,52.0,53.6,52.9
MonDec 5,12:10pm,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
MonDec 5,7:00pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,-1.6%,,-0.6%
MonDec 5,7:30pm,AUD,Medium Impact Expected,Current Account,-5.6B,-5.5B,-6.7B
MonDec 5,10:30pm,AUD,High Impact Expected,Cash Rate,4.25%,4.25%,4.50%
TueDec 6,3:00am,CHF,High Impact Expected,Foreign Currency Reserves,229B,,245B
TueDec 6,3:15am,CHF,High Impact Expected,CPI m/m,-0.2%,0.1%,-0.1%
TueDec 6,4:30am,GBP,Low Impact Expected,FPC Meeting Minutes,,,
TueDec 6,5:00am,EUR,Low Impact Expected,Revised GDP q/q,0.2%,0.2%,0.2%
TueDec 6,5:39am,GBP,Low Impact Expected,30-y Bond Auction,3.29|2.0,,4.18|2.0
TueDec 6,6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,5.2%,0.9%,-4.6%
TueDec 6,8:30am,CAD,High Impact Expected,Building Permits m/m,11.9%,2.3%,-4.1%
TueDec 6,9:00am,CAD,High Impact Expected,BOC Rate Statement,,,
TueDec 6,10:00am,CAD,High Impact Expected,Ivey PMI,59.9,55.2,54.4
