Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
SatMay 1,1:00pm,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
SunMay 2,All Day,EUR,High Impact Expected,Eurogroup Meetings,,,
SunMay 2,7:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,59.8,,50.2
SunMay 2,All Day,CNY,Non-Economic,Bank Holiday,,,
SunMay 2,All Day,JPY,Non-Economic,Bank Holiday,,,
SunMay 2,8:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.40%,,0.50%
SunMay 2,9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,63,,58.4
SunMay 2,9:30pm,AUD,Medium Impact Expected,HPI q/q,4.80%,3.20%,5.10%
SunMay 2,11:03pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,4.90%,,1.80%
MonMay 3,2:30am,AUD,Medium Impact Expected,Commodity Prices y/y,29.40%,,1.00%
MonMay 3,All Day,GBP,Non-Economic,Bank Holiday,,,
MonMay 3,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,53.3,,51.8
MonMay 3,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,65.9,64.2,65.5
MonMay 3,3:45am,EUR,Medium Impact Expected,Italian Manufacturing PMI,54.3,54.5,53.7
MonMay 3,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,59.2,57.8,57.8
MonMay 3,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,61.5,61.3,61.3
MonMay 3,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,57.6,57.5,57.5
MonMay 3,5:00am,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
MonMay 3,8:30am,USD,Medium Impact Expected,Core PCE Price Index m/m,0.10%,0.00%,0.00%
MonMay 3,8:30am,USD,Medium Impact Expected,Personal Spending m/m,0.60%,0.70%,0.50%
MonMay 3,8:30am,USD,Low Impact Expected,Personal Income m/m,0.30%,0.40%,0.10%
MonMay 3,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,60.4,60,59.6
MonMay 3,10:00am,USD,Low Impact Expected,Construction Spending m/m,0.20%,-0.40%,-2.10%
MonMay 3,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,78,73.4,75
MonMay 3,All Day,USD,Low Impact Expected,Total Vehicle Sales,11.2M,11.5M,11.8M
MonMay 3,2:00pm,USD,Low Impact Expected,Loan Officer Survey,,,
