Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
ThuApr 1,1:30am,AUD,Medium Impact Expected,Commodity Prices y/y,1.4%,,-7.0%
ThuApr 1,2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,-0.4%,0.0%,-0.5%
ThuApr 1,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,51.8,,49.1
ThuApr 1,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,65.5,58.7,57.4
ThuApr 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,53.7,52.7,51.6
ThuApr 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,56.5,56.3,56.3
ThuApr 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,60.2,59.6,59.6
ThuApr 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,56.6,56.3,56.3
ThuApr 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,57.2,56.8,56.5
ThuApr 1,6:10am,EUR,Medium Impact Expected,French 10-y Bond Auction,3.41|1.9,,3.45|1.8
ThuApr 1,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-55.0%,,-77.4%
ThuApr 1,8:30am,USD,High Impact Expected,Unemployment Claims,439K,440K,445K
ThuApr 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,59.6,57.0,56.5
ThuApr 1,10:30am,USD,Low Impact Expected,Natural Gas Storage,12B,20B,11B
ThuApr 1,All Day,USD,Low Impact Expected,Total Vehicle Sales,11.8M,11.5M,10.4M
ThuApr 1,All Day,NZD,Non-Economic,Bank Holiday,,,
ThuApr 1,4:00pm,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
ThuApr 1,All Day,AUD,Non-Economic,Bank Holiday,,,
ThuApr 1,5:00pm,USD,Low Impact Expected,FOMC Member Dudley Speaks,,,
ThuApr 1,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,2.1%,2.3%,2.2%
FriApr 2,All Day,CHF,Non-Economic,Bank Holiday,,,
FriApr 2,All Day,EUR,Non-Economic,German Bank Holiday,,,
FriApr 2,All Day,GBP,Non-Economic,Bank Holiday,,,
FriApr 2,All Day,CAD,Non-Economic,Bank Holiday,,,
FriApr 2,8:30am,USD,High Impact Expected,Non-Farm Employment Change,162K,185K,-14K
FriApr 2,9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,58.4,,46.4
SatApr 3,10:00am,NZD,Non-Economic,Daylight Saving Time Shift,,,
SatApr 3,12:00pm,AUD,Non-Economic,Daylight Saving Time Shift,,,
SunApr 4,All Day,NZD,Non-Economic,Bank Holiday,,,
