Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
MonFeb 1,12:35am,AUD,Medium Impact Expected,Commodity Prices y/y,-11.70%,,-15.70%
MonFeb 1,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,45.3,,45.2
MonFeb 1,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,56,55.4,54.6
MonFeb 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,51.7,51.2,50.8
MonFeb 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,55.4,54.7,54.7
MonFeb 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,53.7,53.4,53.4
MonFeb 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,52.4,52,52
MonFeb 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,56.7,54.1,54.6
MonFeb 1,4:30am,GBP,Medium Impact Expected,Net Lending to Individuals m/m,1.2B,1.2B,1.2B
MonFeb 1,4:30am,GBP,Low Impact Expected,Mortgage Approvals,59K,62K,60K
MonFeb 1,8:30am,USD,Medium Impact Expected,Core PCE Price Index m/m,0.10%,0.10%,0.00%
MonFeb 1,8:30am,USD,Medium Impact Expected,Personal Spending m/m,0.20%,0.30%,0.70%
MonFeb 1,8:30am,USD,Low Impact Expected,Personal Income m/m,0.40%,0.40%,0.50%
MonFeb 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,58.4,55.5,55.9
MonFeb 1,10:00am,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
MonFeb 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,-1.20%,-0.40%,-1.20%
MonFeb 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,70,63,61.5
MonFeb 1,2:00pm,USD,Low Impact Expected,Loan Officer Survey,,,
MonFeb 1,4:45pm,NZD,High Impact Expected,Labor Cost Index q/q,0.30%,0.50%,0.40%
MonFeb 1,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,4.90%,4.90%,5.20%
MonFeb 1,7:30pm,AUD,Medium Impact Expected,NAB Business Confidence,8,,19
MonFeb 1,8:30pm,JPY,Medium Impact Expected,Average Cash Earnings y/y,-6.10%,-2.60%,-2.40%
MonFeb 1,10:30pm,AUD,High Impact Expected,Cash Rate,3.75%,4.00%,3.75%
MonFeb 1,10:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
MonFeb 1,10:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.35|3.6,,1.34|2.6
TueFeb 2,1:45am,CHF,Medium Impact Expected,SECO Consumer Climate,-7,-10,-14
TueFeb 2,2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,0.80%,0.90%,-1.70%
TueFeb 2,3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,124.9K,,54.7K
TueFeb 2,4:30am,GBP,Medium Impact Expected,Construction PMI,48.6,47.7,47.1
TueFeb 2,5:00am,EUR,Low Impact Expected,PPI m/m,0.10%,0.00%,0.20%
TueFeb 2,8:30am,NZD,Low Impact Expected,GDT Price Index,-2.50%,,-5.40%
TueFeb 2,10:00am,USD,High Impact Expected,Pending Home Sales m/m,1.00%,0.40%,-16.40%
TueFeb 2,10:00am,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
TueFeb 2,All Day,USD,Low Impact Expected,Total Vehicle Sales,10.8M,11.1M,11.3M
TueFeb 2,5:30pm,AUD,Medium Impact Expected,AIG Services Index,47.4,,50
TueFeb 2,7:01pm,GBP,Medium Impact Expected,Nationwide Consumer Confidence,73,70,70
TueFeb 2,7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,2.30%,,2.20%
TueFeb 2,7:30pm,AUD,High Impact Expected,Trade Balance,-2.25B,-2.36B,-1.73B
TueFeb 2,8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,55.1,,57.5
WedFeb 3,3:15am,EUR,Low Impact Expected,Spanish Services PMI,48.8,,45
WedFeb 3,3:45am,EUR,Low Impact Expected,Italian Services PMI,50.9,52.9,53.9
WedFeb 3,3:50am,EUR,Low Impact Expected,French Final Services PMI,56.3,57,57
WedFeb 3,3:55am,EUR,Low Impact Expected,German Final Services PMI,52.2,51.2,51.2
WedFeb 3,4:00am,EUR,Low Impact Expected,Final Services PMI,52.5,52.3,52.3
WedFeb 3,4:30am,GBP,High Impact Expected,Final Services PMI,54.5,56.6,56.8
WedFeb 3,5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.00%,0.40%,-0.50%
WedFeb 3,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-70.40%,,-72.90%
WedFeb 3,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,-22K,-31K,-61K
WedFeb 3,10:00am,USD,High Impact Expected,ISM Services PMI,50.5,51.1,50.1
WedFeb 3,10:00am,USD,Low Impact Expected,Treasury Sec Geithner Speaks,,,
WedFeb 3,10:30am,USD,Medium Impact Expected,Crude Oil Inventories,2.3M,0.4M,-3.9M
WedFeb 3,12:00pm,USD,Medium Impact Expected,FOMC Member Warsh Speaks,,,
WedFeb 3,4:45pm,NZD,High Impact Expected,Employment Change q/q,-0.10%,-0.10%,-0.80%
WedFeb 3,4:45pm,NZD,High Impact Expected,Unemployment Rate,7.30%,6.80%,6.50%
WedFeb 3,4:45pm,NZD,Low Impact Expected,Visitor Arrivals m/m,8.50%,,-4.70%
WedFeb 3,7:30pm,AUD,High Impact Expected,Building Approvals m/m,2.20%,-0.20%,10.40%
WedFeb 3,7:30pm,AUD,High Impact Expected,Retail Sales m/m,-0.70%,0.30%,1.50%
ThuFeb 4,2:15am,CHF,Medium Impact Expected,Trade Balance,1.36B,2.33B,1.98B
ThuFeb 4,3:00am,CHF,High Impact Expected,Foreign Currency Reserves,94B,,95B
ThuFeb 4,4:00am,GBP,High Impact Expected,Halifax HPI m/m,0.60%,0.90%,0.80%
ThuFeb 4,5:02am,EUR,Medium Impact Expected,French 10-y Bond Auction,3.58|1.7,,3.60|1.7
ThuFeb 4,6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,-2.30%,0.20%,2.70%
ThuFeb 4,7:00am,GBP,High Impact Expected,Asset Purchase Facility,200B,200B,200B
ThuFeb 4,7:00am,GBP,High Impact Expected,MPC Rate Statement,,,
ThuFeb 4,7:00am,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.50%
ThuFeb 4,7:45am,EUR,High Impact Expected,Main Refinancing Rate,1.00%,1.00%,1.00%
ThuFeb 4,8:30am,CAD,High Impact Expected,Building Permits m/m,2.40%,2.70%,-3.20%
ThuFeb 4,8:30am,EUR,High Impact Expected,ECB Press Conference,,,
ThuFeb 4,8:30am,USD,High Impact Expected,Unemployment Claims,480K,461K,472K
ThuFeb 4,8:30am,USD,Medium Impact Expected,Prelim Nonfarm Productivity q/q,6.20%,5.70%,8.10%
ThuFeb 4,8:30am,USD,Medium Impact Expected,Prelim Unit Labor Costs q/q,-4.40%,-2.30%,-2.50%
ThuFeb 4,10:00am,CAD,High Impact Expected,Ivey PMI,50.8,52.3,48.4
ThuFeb 4,10:00am,USD,Medium Impact Expected,Factory Orders m/m,1.00%,0.70%,1.00%
ThuFeb 4,10:00am,USD,Low Impact Expected,Treasury Sec Geithner Speaks,,,
ThuFeb 4,10:30am,USD,Low Impact Expected,Natural Gas Storage,-115B,-123B,-86B
ThuFeb 4,1:45pm,CAD,Medium Impact Expected,BOC Gov Carney Speaks,,,
ThuFeb 4,2:00pm,USD,High Impact Expected,FOMC Member Hoenig Speaks,,,
ThuFeb 4,5:30pm,AUD,Low Impact Expected,AIG Construction Index,57.7,,49.3
ThuFeb 4,7:30pm,AUD,High Impact Expected,RBA Monetary Policy Statement,,,
FriFeb 5,12:00am,JPY,Low Impact Expected,Leading Indicators,94.00%,93.70%,91.00%
FriFeb 5,2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-138.0B,,-143.3B
FriFeb 5,2:45am,EUR,Low Impact Expected,French Trade Balance,-4.3B,-3.9B,-5.0B
FriFeb 5,4:30am,GBP,High Impact Expected,PPI Input m/m,2.00%,0.70%,0.60%
FriFeb 5,4:30am,GBP,Low Impact Expected,PPI Output m/m,0.40%,0.30%,0.50%
FriFeb 5,5:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.10%,0.30%,0.20%
FriFeb 5,6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,-2.60%,0.60%,0.70%
FriFeb 5,7:00am,CAD,High Impact Expected,Employment Change,43.0K,15.2K,-2.6K
FriFeb 5,7:00am,CAD,High Impact Expected,Unemployment Rate,8.30%,8.50%,8.50%
FriFeb 5,8:30am,USD,High Impact Expected,Non-Farm Employment Change,-20K,10K,-150K
FriFeb 5,8:30am,USD,High Impact Expected,Unemployment Rate,9.70%,10.00%,10.00%
FriFeb 5,8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.20%,0.20%,0.20%
FriFeb 5,Day 1,All,Medium Impact Expected,G7 Meetings,,,
FriFeb 5,3:00pm,USD,Low Impact Expected,Consumer Credit m/m,-1.7B,-9.2B,-21.8B
FriFeb 5,5:15pm,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
SatFeb 6,Day 2,All,High Impact Expected,G7 Meetings,,,
SatFeb 6,1:15pm,USD,High Impact Expected,Treasury Sec Geithner Speaks,,,
SunFeb 7,6:50pm,JPY,Low Impact Expected,Bank Lending y/y,-1.50%,,-1.00%
SunFeb 7,6:50pm,JPY,Low Impact Expected,Current Account,1.10T,1.27T,1.30T
SunFeb 7,6:50pm,JPY,Low Impact Expected,M2 Money Stock y/y,2.90%,3.00%,3.10%
MonFeb 8,12:00am,JPY,Low Impact Expected,Economy Watchers Sentiment,38.8,35.9,35.4
MonFeb 8,1:45am,CHF,Low Impact Expected,Unemployment Rate,4.10%,4.30%,4.20%
MonFeb 8,3:15am,CHF,High Impact Expected,Retail Sales y/y,4.70%,1.30%,-0.10%
MonFeb 8,4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-8.2,-2.3,-3.7
MonFeb 8,8:15am,CAD,High Impact Expected,Housing Starts,186K,180K,176K
MonFeb 8,1:00pm,CAD,Medium Impact Expected,Gov Council Member Duguay Speaks,,,
MonFeb 8,5:00pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
MonFeb 8,7:01pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,-0.70%,,4.20%
MonFeb 8,7:01pm,GBP,Medium Impact Expected,RICS House Price Balance,32%,28%,30%
MonFeb 8,10:45pm,JPY,Low Impact Expected,30-y Bond Auction,2.31|3.9,,2.21|3.5
TueFeb 9,1:00am,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,192.00%,,63.40%
TueFeb 9,2:00am,EUR,Low Impact Expected,German Final CPI m/m,-0.60%,-0.60%,-0.60%
TueFeb 9,2:00am,EUR,Low Impact Expected,German Trade Balance,16.7B,14.8B,17.0B
TueFeb 9,4:30am,GBP,Medium Impact Expected,Goods Trade Balance,-7.3B,-6.6B,-6.8B
TueFeb 9,7:30am,USD,Low Impact Expected,NFIB Small Business Index,89.3,,88
TueFeb 9,10:00am,USD,Low Impact Expected,Final Wholesale Inventories m/m,-0.80%,0.50%,1.60%
TueFeb 9,10:00am,USD,Low Impact Expected,IBD/TIPP Economic Optimism,46.8,49.3,48.8
TueFeb 9,10:00am,USD,Low Impact Expected,JOLTS Job Openings,2.50M,,2.43M
TueFeb 9,6:30pm,AUD,Medium Impact Expected,Westpac Consumer Sentiment,-2.60%,,5.60%
TueFeb 9,6:50pm,JPY,Medium Impact Expected,Core Machinery Orders m/m,20.10%,8.10%,-11.30%
TueFeb 9,6:50pm,JPY,Low Impact Expected,PPI y/y,-2.10%,-2.30%,-3.90%
TueFeb 9,7:30pm,AUD,High Impact Expected,Home Loans m/m,-5.50%,-4.80%,-6.10%
TueFeb 9,10:30pm,CNY,High Impact Expected,USD-Denominated Trade Balance,14.2B,20.2B,18.4B
WedFeb 10,2:45am,EUR,Medium Impact Expected,French Industrial Production m/m,-0.10%,0.60%,0.60%
WedFeb 10,4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,-0.70%,0.00%,0.40%
WedFeb 10,4:30am,GBP,High Impact Expected,Manufacturing Production m/m,0.90%,0.40%,0.20%
WedFeb 10,4:30am,GBP,Low Impact Expected,Industrial Production m/m,0.50%,0.20%,0.40%
WedFeb 10,5:06am,EUR,Medium Impact Expected,German 10-y Bond Auction,3.22|1.7,,3.38|1.6
WedFeb 10,5:30am,GBP,High Impact Expected,BOE Gov King Speaks,,,
WedFeb 10,5:30am,GBP,High Impact Expected,BOE Monetary Policy Report,,,
WedFeb 10,8:30am,CAD,High Impact Expected,Trade Balance,-0.2B,-0.1B,-0.2B
WedFeb 10,8:30am,USD,High Impact Expected,Trade Balance,-40.2B,-35.8B,-36.4B
WedFeb 10,10:00am,GBP,Medium Impact Expected,NIESR GDP Estimate,0.40%,,0.10%
WedFeb 10,10:00am,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
WedFeb 10,1:00pm,USD,Medium Impact Expected,10-y Bond Auction,3.69|2.7,,3.75|3.0
WedFeb 10,4:36pm,NZD,Low Impact Expected,BusinessNZ Manufacturing Index,52,,53
WedFeb 10,4:49pm,NZD,Low Impact Expected,FPI m/m,2.10%,,-0.30%
WedFeb 10,7:00pm,AUD,Medium Impact Expected,MI Inflation Expectations,3.20%,,3.50%
WedFeb 10,All Day,JPY,Non-Economic,Bank Holiday,,,
WedFeb 10,7:30pm,AUD,High Impact Expected,Employment Change,52.7K,15.1K,37.5K
WedFeb 10,7:30pm,AUD,High Impact Expected,Unemployment Rate,5.30%,5.60%,5.50%
WedFeb 10,9:02pm,CNY,Medium Impact Expected,CPI y/y,1.50%,2.20%,1.90%
WedFeb 10,9:02pm,CNY,Medium Impact Expected,PPI y/y,4.30%,3.90%,1.70%
WedFeb 10,9:07pm,CNY,Medium Impact Expected,New Loans,1390B,,380B
WedFeb 10,9:07pm,CNY,Low Impact Expected,M2 Money Supply y/y,26.00%,26.30%,27.70%
ThuFeb 11,2:00am,EUR,Low Impact Expected,German WPI m/m,1.30%,0.10%,0.20%
ThuFeb 11,3:00am,EUR,Medium Impact Expected,Spanish Flash GDP q/q,-0.10%,-0.10%,-0.30%
ThuFeb 11,3:15am,CHF,Medium Impact Expected,CPI m/m,-0.10%,-0.40%,-0.20%
ThuFeb 11,4:00am,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
ThuFeb 11,All Day,EUR,High Impact Expected,EU Economic Summit,,,
ThuFeb 11,8:30am,CAD,Medium Impact Expected,NHPI m/m,0.40%,0.40%,0.40%
ThuFeb 11,8:30am,USD,High Impact Expected,Unemployment Claims,440K,460K,483K
ThuFeb 11,1:00pm,USD,Low Impact Expected,30-y Bond Auction,4.72|2.4,,4.64|2.7
ThuFeb 11,4:00pm,NZD,Medium Impact Expected,REINZ HPI m/m,-1.60%,,-0.90%
ThuFeb 11,4:45pm,NZD,High Impact Expected,Core Retail Sales m/m,-1.80%,0.30%,0.80%
ThuFeb 11,4:45pm,NZD,Medium Impact Expected,Retail Sales m/m,0.00%,0.70%,0.80%
ThuFeb 11,4:45pm,NZD,Low Impact Expected,Core Retail Sales q/q,1.30%,,0.70%
ThuFeb 11,4:45pm,NZD,Low Impact Expected,Retail Sales q/q,1.00%,1.50%,0.30%
FriFeb 12,12:00am,JPY,Low Impact Expected,Consumer Confidence,39,38.2,37.6
FriFeb 12,2:00am,EUR,High Impact Expected,German Prelim GDP q/q,0.00%,0.20%,0.70%
FriFeb 12,2:45am,EUR,Medium Impact Expected,French Prelim Private Payrolls q/q,-0.40%,-0.20%,-0.50%
FriFeb 12,2:45am,EUR,Low Impact Expected,French Prelim GDP q/q,0.60%,0.50%,0.20%
FriFeb 12,4:00am,EUR,Low Impact Expected,Italian Prelim GDP q/q,-0.20%,0.10%,0.60%
FriFeb 12,5:00am,EUR,Medium Impact Expected,Flash GDP q/q,0.10%,0.40%,0.40%
FriFeb 12,5:00am,EUR,Medium Impact Expected,Industrial Production m/m,-1.70%,0.30%,1.40%
FriFeb 12,5:00am,GBP,Low Impact Expected,CB Leading Index m/m,0.40%,,0.90%
FriFeb 12,8:30am,CAD,Low Impact Expected,New Motor Vehicle Sales m/m,2.60%,2.00%,-2.80%
FriFeb 12,8:30am,USD,High Impact Expected,Core Retail Sales m/m,0.60%,0.40%,-0.20%
FriFeb 12,8:30am,USD,High Impact Expected,Retail Sales m/m,0.50%,0.40%,-0.10%
FriFeb 12,9:55am,USD,High Impact Expected,Prelim UoM Consumer Sentiment,73.7,74.8,74.4
FriFeb 12,9:55am,USD,Low Impact Expected,Prelim UoM Inflation Expectations,2.70%,,2.80%
FriFeb 12,10:00am,USD,Medium Impact Expected,Business Inventories m/m,-0.20%,0.30%,0.50%
FriFeb 12,10:30am,USD,Low Impact Expected,Natural Gas Storage,-191B,-176B,-115B
FriFeb 12,11:00am,USD,Medium Impact Expected,Crude Oil Inventories,2.4M,1.4M,2.3M
FriFeb 12,2:30pm,USD,Low Impact Expected,FOMC Member Tarullo Speaks,,,
FriFeb 12,11:30pm,CAD,Medium Impact Expected,BOC Gov Carney Speaks,,,
SunFeb 14,4:30pm,NZD,Low Impact Expected,BusinessNZ Services Index,53.1,,54.4
SunFeb 14,6:50pm,JPY,High Impact Expected,Prelim GDP q/q,1.10%,1.00%,0.00%
SunFeb 14,6:52pm,JPY,Medium Impact Expected,Prelim GDP Price Index y/y,-3.00%,-2.20%,-0.60%
SunFeb 14,All Day,CNY,Non-Economic,Bank Holiday,,,
SunFeb 14,7:01pm,GBP,Medium Impact Expected,Rightmove HPI m/m,3.20%,,0.40%
