Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
SunAug 1,7:28pm,AUD,Low Impact Expected,AIG Manufacturing Index,54.4,,52.9
SunAug 1,8:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.10%,,0.30%
SunAug 1,9:00pm,AUD,Medium Impact Expected,HIA New Home Sales m/m,-5.10%,,-6.40%
SunAug 1,9:30pm,JPY,Medium Impact Expected,Average Cash Earnings y/y,1.50%,0.70%,0.10%
SunAug 1,10:30pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,49.4,,50.4
SunAug 1,11:06pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-0.80%,,-1.60%
MonAug 2,3:15am,CHF,High Impact Expected,Retail Sales y/y,0.90%,4.10%,3.90%
MonAug 2,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,51.6,,51.2
MonAug 2,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,66.9,64.9,65.7
MonAug 2,3:45am,EUR,Medium Impact Expected,Italian Manufacturing PMI,54.4,54.7,54.3
MonAug 2,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,53.9,53.7,53.7
MonAug 2,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,61.2,61.2,61.2
MonAug 2,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,56.7,56.5,56.5
MonAug 2,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,57.3,57.1,57.6
MonAug 2,All Day,CAD,Non-Economic,Bank Holiday,,,
MonAug 2,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,55.5,54.2,56.2
MonAug 2,10:00am,USD,Low Impact Expected,Construction Spending m/m,0.10%,-0.40%,-1.00%
MonAug 2,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,57.5,55.2,57
MonAug 2,10:15am,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
MonAug 2,4:00pm,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
MonAug 2,6:45pm,NZD,High Impact Expected,Labor Cost Index q/q,0.40%,0.40%,0.30%
MonAug 2,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,6.10%,3.70%,3.60%
MonAug 2,9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,60.1,,57.4
MonAug 2,9:30pm,AUD,High Impact Expected,Building Approvals m/m,-3.30%,2.10%,-6.40%
MonAug 2,9:30pm,AUD,High Impact Expected,Retail Sales m/m,0.20%,0.40%,0.20%
MonAug 2,11:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.06|4.2,,1.12|2.8
TueAug 3,12:30am,AUD,High Impact Expected,Cash Rate,4.50%,4.50%,4.50%
TueAug 3,12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
TueAug 3,2:30am,AUD,Medium Impact Expected,Commodity Prices y/y,51.00%,,44.00%
TueAug 3,3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-73.8K,,-83.8K
TueAug 3,3:15am,CHF,Medium Impact Expected,CPI m/m,-0.70%,-0.50%,-0.40%
TueAug 3,4:30am,GBP,Medium Impact Expected,Construction PMI,54.1,58.2,58.4
TueAug 3,5:00am,EUR,Low Impact Expected,PPI m/m,0.30%,0.40%,0.30%
TueAug 3,8:30am,USD,Medium Impact Expected,Core PCE Price Index m/m,0.00%,0.10%,0.10%
TueAug 3,8:30am,USD,Medium Impact Expected,Personal Spending m/m,0.00%,0.10%,0.10%
TueAug 3,8:30am,USD,Low Impact Expected,Personal Income m/m,0.00%,0.20%,0.30%
TueAug 3,10:00am,USD,High Impact Expected,Pending Home Sales m/m,-2.60%,0.50%,-29.90%
TueAug 3,10:00am,USD,Medium Impact Expected,Factory Orders m/m,-1.20%,-0.20%,-1.80%
TueAug 3,10:30am,NZD,Low Impact Expected,GDT Price Index,-8.10%,,-14.00%
TueAug 3,All Day,USD,Low Impact Expected,Total Vehicle Sales,12.1M,11.5M,11.1M
TueAug 3,7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,1.50%,,1.50%
TueAug 3,7:27pm,AUD,Medium Impact Expected,AIG Services Index,46.6,,48.8
TueAug 3,9:30pm,AUD,High Impact Expected,Trade Balance,3.54B,1.81B,1.83B
TueAug 3,9:30pm,AUD,Medium Impact Expected,HPI q/q,3.10%,2.00%,4.20%
WedAug 4,2:00am,GBP,High Impact Expected,Halifax HPI m/m,0.60%,-0.40%,-0.60%
WedAug 4,3:15am,EUR,Low Impact Expected,Spanish Services PMI,51.3,,51.8
WedAug 4,3:45am,EUR,Low Impact Expected,Italian Services PMI,49.6,51.4,51.5
WedAug 4,3:50am,EUR,Low Impact Expected,French Final Services PMI,61.1,61.3,61.3
WedAug 4,3:55am,EUR,Low Impact Expected,German Final Services PMI,56.5,57.3,57.3
WedAug 4,4:00am,EUR,Low Impact Expected,Final Services PMI,55.8,56,56
WedAug 4,4:30am,GBP,High Impact Expected,Final Services PMI,53.1,54.5,54.4
WedAug 4,5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.00%,0.00%,0.40%
WedAug 4,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-57.20%,,-47.10%
WedAug 4,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,42K,38K,19K
WedAug 4,10:00am,USD,High Impact Expected,ISM Services PMI,54.3,53.2,53.8
WedAug 4,10:30am,USD,Medium Impact Expected,Crude Oil Inventories,-2.8M,-0.9M,7.3M
WedAug 4,4:00pm,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
WedAug 4,6:45pm,NZD,High Impact Expected,Employment Change q/q,-0.30%,0.50%,1.00%
WedAug 4,6:45pm,NZD,High Impact Expected,Unemployment Rate,6.80%,6.30%,6.00%
ThuAug 5,3:00am,CHF,High Impact Expected,Foreign Currency Reserves,220B,,225B
ThuAug 5,6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,3.20%,1.50%,-0.10%
ThuAug 5,6:30am,NZD,Low Impact Expected,GDT Price Index,-1.30%,,2.40%
ThuAug 5,7:00am,GBP,High Impact Expected,Asset Purchase Facility,200B,200B,200B
ThuAug 5,7:00am,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.50%
ThuAug 5,7:45am,EUR,High Impact Expected,Main Refinancing Rate,1.00%,1.00%,1.00%
ThuAug 5,8:30am,CAD,High Impact Expected,Building Permits m/m,6.50%,1.20%,-8.20%
ThuAug 5,8:30am,EUR,High Impact Expected,ECB Press Conference,,,
ThuAug 5,8:30am,USD,High Impact Expected,Unemployment Claims,479K,456K,460K
ThuAug 5,10:30am,USD,Low Impact Expected,Natural Gas Storage,29B,32B,28B
ThuAug 5,12:00pm,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
ThuAug 5,7:30pm,AUD,Low Impact Expected,AIG Construction Index,43.3,,46.4
ThuAug 5,9:30pm,AUD,High Impact Expected,RBA Monetary Policy Statement,,,
FriAug 6,1:00am,JPY,Low Impact Expected,Leading Indicators,98.90%,98.90%,98.60%
FriAug 6,1:45am,CHF,Low Impact Expected,Unemployment Rate,3.80%,3.90%,3.90%
FriAug 6,2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-61.7B,,-67.9B
FriAug 6,2:45am,EUR,Low Impact Expected,French Trade Balance,-3.8B,-4.6B,-5.2B
FriAug 6,3:30am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
FriAug 6,4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,0.60%,0.40%,1.00%
FriAug 6,4:30am,GBP,High Impact Expected,Manufacturing Production m/m,0.30%,0.50%,0.30%
FriAug 6,4:30am,GBP,High Impact Expected,PPI Input m/m,-1.00%,-0.40%,-0.30%
FriAug 6,4:30am,GBP,Low Impact Expected,Industrial Production m/m,-0.50%,0.30%,0.70%
FriAug 6,4:30am,GBP,Low Impact Expected,PPI Output m/m,0.10%,0.10%,-0.30%
FriAug 6,5:00am,EUR,Low Impact Expected,Italian Prelim GDP q/q,0.40%,0.40%,0.40%
FriAug 6,6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,-0.60%,0.80%,2.90%
FriAug 6,7:00am,CAD,High Impact Expected,Employment Change,-9.3K,13.7K,93.2K
FriAug 6,7:00am,CAD,High Impact Expected,Unemployment Rate,8.00%,7.90%,7.90%
FriAug 6,8:30am,USD,High Impact Expected,Non-Farm Employment Change,-131K,-63K,-221K
FriAug 6,8:30am,USD,High Impact Expected,Unemployment Rate,9.50%,9.60%,9.50%
FriAug 6,8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.20%,0.10%,0.00%
FriAug 6,10:00am,CAD,High Impact Expected,Ivey PMI,54,55.9,58.9
FriAug 6,10:00am,GBP,Medium Impact Expected,NIESR GDP Estimate,0.90%,,1.10%
FriAug 6,3:00pm,USD,Low Impact Expected,Consumer Credit m/m,-1.3B,-5.2B,-5.3B
SunAug 8,7:50pm,JPY,Low Impact Expected,Bank Lending y/y,-1.80%,,-2.00%
SunAug 8,7:50pm,JPY,Low Impact Expected,Current Account,1.36T,1.44T,0.90T
