Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
MonDec 1,12:30am,AUD,Medium Impact Expected,Commodity Prices y/y,35.0%,,35.9%
MonDec 1,2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,-1.6%,0.5%,-1.0%
MonDec 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,29.4,,34.6
MonDec 1,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,35.2,45.5,47.0
MonDec 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,34.9,36.6,39.7
MonDec 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,37.3,37.8,37.9
MonDec 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,35.7,36.6,36.7
MonDec 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,35.6,36.2,36.2
MonDec 1,All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
MonDec 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,34.4,39.8,40.7
MonDec 1,8:30am,CAD,High Impact Expected,GDP m/m,0.1%,0.2%,-0.5%
MonDec 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,36.2,37.2,38.9
MonDec 1,1:15pm,USD,Low Impact Expected,FOMC Member Fisher Speaks,,,
MonDec 1,1:45pm,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
MonDec 1,3:00pm,USD,Low Impact Expected,Treasury Sec Paulson Speaks,,,
MonDec 1,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,1.9%,2.0%,1.4%
MonDec 1,7:30pm,AUD,High Impact Expected,Retail Sales m/m,0.7%,-0.4%,-1.1%
MonDec 1,10:30pm,AUD,High Impact Expected,Cash Rate,4.25%,4.50%,5.25%
MonDec 1,10:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.38|2.9,,1.50|2.3
TueDec 2,12:34am,JPY,Medium Impact Expected,Monetary Policy Statement,,,
TueDec 2,1:45am,CHF,Medium Impact Expected,CPI m/m,-0.7%,-0.3%,0.5%
TueDec 2,2:06am,JPY,High Impact Expected,BOJ Press Conference,,,
TueDec 2,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,171.2K,,192.7K
TueDec 2,All Day,EUR,Low Impact Expected,ECOFIN Meetings,,,
TueDec 2,4:30am,GBP,Medium Impact Expected,Construction PMI,31.8,33.8,35.1
TueDec 2,5:00am,EUR,Low Impact Expected,PPI m/m,-0.8%,-0.3%,-0.3%
TueDec 2,8:30am,NZD,Low Impact Expected,GDT Price Index,-13.8%,,-11.3%
TueDec 2,All Day,USD,Low Impact Expected,Total Vehicle Sales,10.2M,10.5M,10.6M
TueDec 2,11:30am,USD,Low Impact Expected,Treasury Sec Paulson Speaks,,,
TueDec 2,12:30pm,USD,Medium Impact Expected,FOMC Member Plosser Speaks,,,
TueDec 2,5:30pm,AUD,Low Impact Expected,AIG Services Index,37.8,,42.1
TueDec 2,7:01pm,GBP,Medium Impact Expected,Nationwide Consumer Confidence,50,54,56
TueDec 2,7:30pm,AUD,High Impact Expected,GDP q/q,0.1%,0.2%,0.4%
TueDec 2,8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,45.4,,56.7
TueDec 2,9:06pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-7.2%,,-7.4%
WedDec 3,3:15am,EUR,Low Impact Expected,Spanish Services PMI,28.2,,32.2
WedDec 3,3:45am,EUR,Low Impact Expected,Italian Services PMI,39.5,43.5,45.7
WedDec 3,3:50am,EUR,Low Impact Expected,French Final Services PMI,46.2,46.6,46.6
WedDec 3,3:55am,EUR,Low Impact Expected,German Final Services PMI,45.1,46.2,46.2
WedDec 3,4:00am,EUR,Medium Impact Expected,Final Services PMI,42.5,43.3,43.3
WedDec 3,4:30am,GBP,High Impact Expected,Final Services PMI,40.1,41.2,42.4
WedDec 3,5:00am,EUR,Medium Impact Expected,Retail Sales m/m,-0.8%,-0.4%,0.0%
WedDec 3,5:33am,GBP,Low Impact Expected,BRC Shop Price Index y/y,2.7%,,3.0%
WedDec 3,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,148.4%,,78.9%
WedDec 3,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,-250K,-200K,-179K
WedDec 3,8:30am,USD,Medium Impact Expected,Revised Nonfarm Productivity q/q,1.3%,1.0%,1.1%
WedDec 3,10:00am,USD,High Impact Expected,ISM Services PMI,37.3,42.5,44.4
WedDec 3,10:15am,USD,Medium Impact Expected,FOMC Member Kroszner Speaks,,,
WedDec 3,10:35am,USD,Medium Impact Expected,Crude Oil Inventories,-0.4M,1.8M,7.3M
WedDec 3,11:00am,CHF,Medium Impact Expected,SNB Chairman Roth Speaks,,,
WedDec 3,2:00pm,USD,Medium Impact Expected,Beige Book,,,
WedDec 3,3:00pm,NZD,High Impact Expected,Official Cash Rate,5.00%,5.00%,6.50%
WedDec 3,6:50pm,JPY,Medium Impact Expected,Capital Spending q/y,-13.0%,-9.9%,-6.5%
WedDec 3,7:30pm,AUD,High Impact Expected,Building Approvals m/m,-5.4%,0.2%,-5.9%
ThuDec 4,1:45am,CHF,Medium Impact Expected,GDP q/q,0.0%,0.0%,0.3%
ThuDec 4,3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,48B,,48B
ThuDec 4,4:00am,GBP,High Impact Expected,Halifax HPI m/m,-2.6%,-1.0%,-2.4%
ThuDec 4,5:00am,EUR,Low Impact Expected,Revised GDP q/q,-0.2%,-0.2%,-0.2%
ThuDec 4,7:00am,GBP,High Impact Expected,MPC Rate Statement,,,
ThuDec 4,7:45am,EUR,High Impact Expected,Main Refinancing Rate,2.50%,2.75%,3.25%
ThuDec 4,8:30am,CAD,High Impact Expected,Building Permits m/m,-15.7%,-6.0%,12.5%
ThuDec 4,9:15am,USD,Medium Impact Expected,FOMC Member Fisher Speaks,,,
ThuDec 4,10:00am,CAD,High Impact Expected,Ivey PMI,40.2,50.0,52.2
ThuDec 4,10:30am,GBP,Low Impact Expected,CB Leading Index m/m,-1.7%,,-1.1%
ThuDec 4,10:35am,USD,Low Impact Expected,Natural Gas Storage,-64B,-69B,-66B
ThuDec 4,11:15am,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
ThuDec 4,4:30pm,USD,Medium Impact Expected,FOMC Member Kroszner Speaks,,,
