Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
MonSep 1,2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,-1.5%,-0.1%,-1.4%
MonSep 1,2:30am,AUD,Medium Impact Expected,Commodity Prices y/y,45.2%,,41.9%
MonSep 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,42.4,,39.2
MonSep 1,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,52.5,53.3,54.1
MonSep 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,47.1,46.6,45.3
MonSep 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,45.8,45.1,45.1
MonSep 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,49.7,49.9,49.9
MonSep 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,47.6,47.5,47.5
MonSep 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,45.9,44.0,44.1
MonSep 1,All Day,CAD,Non-Economic,Bank Holiday,,,
MonSep 1,All Day,USD,Non-Economic,Bank Holiday,,,
MonSep 1,9:30am,USD,Medium Impact Expected,FOMC Member Kroszner Speaks,,,
MonSep 1,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,-0.2%,-0.5%,-0.7%
MonSep 1,9:00pm,JPY,Medium Impact Expected,BOJ Gov Shirakawa Speaks,,,
MonSep 1,9:30pm,AUD,High Impact Expected,Building Approvals m/m,-2.3%,0.3%,2.2%
MonSep 1,11:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.49|2.7,,1.53|2.6
TueSep 2,12:30am,AUD,High Impact Expected,Cash Rate,7.00%,7.00%,7.25%
TueSep 2,1:45am,CHF,High Impact Expected,CPI m/m,-0.3%,-0.1%,-0.4%
TueSep 2,2:30am,JPY,Low Impact Expected,BOJ Gov Shirakawa Speaks,,,
TueSep 2,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,103.1K,,36.5K
TueSep 2,4:00am,GBP,Medium Impact Expected,Stimulus Package Announcement,,,
TueSep 2,4:30am,GBP,Medium Impact Expected,Construction PMI,40.5,36.0,36.7
TueSep 2,5:00am,EUR,Low Impact Expected,PPI m/m,1.1%,1.3%,1.0%
TueSep 2,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,49.9,49.9,50.0
TueSep 2,10:30am,NZD,Low Impact Expected,GDT Price Index,-14.2%,,-12.9%
TueSep 2,12:30pm,CHF,Medium Impact Expected,Gov Board Member Jordan Speaks,,,
TueSep 2,7:01pm,GBP,Medium Impact Expected,Nationwide Consumer Confidence,52,49,52
TueSep 2,7:30pm,AUD,Low Impact Expected,AIG Services Index,39.3,,42.8
TueSep 2,9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,53.8,,58.1
TueSep 2,9:30pm,AUD,High Impact Expected,GDP q/q,0.3%,0.4%,0.7%
TueSep 2,11:07pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-3.3%,,1.8%
WedSep 3,3:15am,EUR,Low Impact Expected,Spanish Services PMI,39.0,,37.1
WedSep 3,3:45am,EUR,Low Impact Expected,Italian Services PMI,48.5,46.6,45.6
WedSep 3,3:50am,EUR,Low Impact Expected,French Final Services PMI,48.0,48.5,48.5
WedSep 3,3:55am,EUR,Low Impact Expected,German Final Services PMI,51.4,50.6,50.6
WedSep 3,4:00am,EUR,Low Impact Expected,Final Services PMI,48.5,48.2,48.2
WedSep 3,4:30am,GBP,High Impact Expected,Final Services PMI,49.2,47.0,47.4
WedSep 3,5:00am,EUR,Medium Impact Expected,Retail Sales m/m,-0.4%,0.0%,-0.9%
WedSep 3,5:30am,GBP,Low Impact Expected,BRC Shop Price Index y/y,3.8%,,3.2%
WedSep 3,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,11.7%,,140.8%
WedSep 3,9:00am,CAD,High Impact Expected,BOC Rate Statement,,,
WedSep 3,10:00am,USD,Medium Impact Expected,Factory Orders m/m,1.3%,1.0%,2.1%
WedSep 3,All Day,USD,Low Impact Expected,Total Vehicle Sales,13.7M,13.0M,12.6M
WedSep 3,2:00pm,USD,Medium Impact Expected,Beige Book,,,
WedSep 3,9:30pm,AUD,High Impact Expected,Trade Balance,-0.72B,0.11B,0.35B
ThuSep 4,3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,48B,,46B
ThuSep 4,4:00am,GBP,High Impact Expected,Halifax HPI m/m,-1.8%,-1.8%,-1.7%
ThuSep 4,5:06am,EUR,Low Impact Expected,French 10-y Bond Auction,4.36|1.9,,4.85|2.1
ThuSep 4,6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,-1.7%,0.4%,-2.6%
ThuSep 4,7:00am,GBP,High Impact Expected,Official Bank Rate,5.00%,5.00%,5.00%
ThuSep 4,7:45am,EUR,Medium Impact Expected,Main Refinancing Rate,4.25%,4.25%,4.25%
ThuSep 4,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,-33K,-30K,1K
ThuSep 4,8:30am,EUR,High Impact Expected,ECB Press Conference,,,
ThuSep 4,10:00am,USD,High Impact Expected,ISM Services PMI,50.6,49.4,49.5
ThuSep 4,10:35am,USD,Low Impact Expected,Natural Gas Storage,90B,88B,102B
ThuSep 4,11:00am,USD,Medium Impact Expected,Crude Oil Inventories,-1.9M,0.0M,-0.1M
ThuSep 4,1:40pm,USD,Medium Impact Expected,FOMC Member Fisher Speaks,,,
ThuSep 4,7:30pm,AUD,Low Impact Expected,AIG Construction Index,43.1,,41.6
ThuSep 4,7:50pm,JPY,Medium Impact Expected,Capital Spending q/y,-6.5%,1.2%,-4.9%
FriSep 5,2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-51.4B,,-32.8B
FriSep 5,2:50am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
FriSep 5,4:00am,EUR,Low Impact Expected,Italian Trade Balance,-1.03B,-1.00B,-0.08B
FriSep 5,6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,-1.8%,-0.5%,0.1%
FriSep 5,7:00am,CAD,High Impact Expected,Employment Change,15.2K,9.0K,-55.2K
FriSep 5,8:30am,USD,High Impact Expected,Non-Farm Employment Change,-84K,-73K,-60K
FriSep 5,10:00am,CAD,High Impact Expected,Ivey PMI,51.5,61.7,65.5
SatSep 6,2:30am,EUR,Low Impact Expected,ECB President Trichet Speaks,,,
SunSep 7,7:00pm,AUD,High Impact Expected,RBA Gov Stevens Speaks,,,
SunSep 7,7:50pm,JPY,Low Impact Expected,Bank Lending y/y,1.8%,,1.8%
SunSep 7,9:30pm,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,-4.9%,,-0.3%
MonSep 8,1:00am,JPY,Low Impact Expected,Economy Watchers Sentiment,28.3,29.7,29.3
MonSep 8,1:45am,CHF,Low Impact Expected,Unemployment Rate,2.5%,2.5%,2.5%
MonSep 8,4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-20.2,-18.4,-15.3
MonSep 8,8:30am,CAD,High Impact Expected,Building Permits m/m,1.8%,-1.0%,-5.3%
MonSep 8,1:00pm,USD,Medium Impact Expected,FOMC Member Fisher Speaks,,,
MonSep 8,3:00pm,USD,Low Impact Expected,Consumer Credit m/m,4.6B,8.6B,11.0B
MonSep 8,7:01pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,-1.0%,,-0.9%
MonSep 8,9:30pm,AUD,High Impact Expected,Home Loans m/m,-0.2%,0.0%,-1.7%
TueSep 9,2:00am,EUR,Low Impact Expected,German Trade Balance,11.8B,17.5B,18.2B
TueSep 9,2:03am,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,-14.2%,,-8.9%
TueSep 9,Day 1,All,Low Impact Expected,OPEC Meetings,,,
TueSep 9,4:30am,GBP,High Impact Expected,Manufacturing Production m/m,-0.2%,-0.1%,-0.4%
TueSep 9,7:30am,USD,Low Impact Expected,NFIB Small Business Index,91.1,,88.2
TueSep 9,8:15am,CAD,High Impact Expected,Housing Starts,211K,194K,187K
TueSep 9,9:00am,USD,Medium Impact Expected,Fed Chairman Bernanke Speaks,,,
TueSep 9,10:00am,USD,High Impact Expected,Pending Home Sales m/m,-3.2%,-1.2%,5.8%
TueSep 9,6:45pm,NZD,Low Impact Expected,Overseas Trade Index q/q,-0.5%,-1.7%,4.1%
TueSep 9,7:01pm,GBP,Low Impact Expected,NIESR GDP Estimate,-0.2%,,-0.1%
TueSep 9,7:50pm,JPY,Low Impact Expected,Current Account,1.56T,1.34T,1.29T
TueSep 9,8:30pm,AUD,Medium Impact Expected,Westpac Consumer Sentiment,7.0%,,9.1%
TueSep 9,10:00pm,CNY,Medium Impact Expected,CPI y/y,4.9%,5.4%,6.3%
TueSep 9,11:30pm,CNY,High Impact Expected,USD-Denominated Trade Balance,28.7B,23.4B,25.3B
WedSep 10,1:00am,JPY,Low Impact Expected,Leading Indicators,91.6%,91.8%,91.0%
WedSep 10,2:45am,EUR,Medium Impact Expected,French Industrial Production m/m,1.2%,0.1%,-0.6%
WedSep 10,3:00am,EUR,High Impact Expected,ECB President Trichet Speaks,,,
WedSep 10,Day 2,All,Low Impact Expected,OPEC Meetings,,,
WedSep 10,4:30am,GBP,Medium Impact Expected,Goods Trade Balance,-7.7B,-7.5B,-8.0B
WedSep 10,4:50am,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,41.6%,,44.5%
WedSep 10,6:15am,CHF,Medium Impact Expected,Gov Board Member Hildebrand Speaks,,,
WedSep 10,8:30am,CAD,Medium Impact Expected,Labor Productivity q/q,-0.2%,0.1%,-0.6%
WedSep 10,9:00am,CHF,Medium Impact Expected,Gov Board Member Jordan Speaks,,,
WedSep 10,10:30am,GBP,Low Impact Expected,CB Leading Index m/m,-0.7%,,-1.0%
WedSep 10,10:35am,USD,Medium Impact Expected,Crude Oil Inventories,-5.9M,-4.6M,-1.9M
WedSep 10,5:00pm,NZD,High Impact Expected,Official Cash Rate,7.50%,7.75%,8.00%
WedSep 10,6:46pm,NZD,Low Impact Expected,BusinessNZ Manufacturing Index,45.7,,48.7
WedSep 10,6:49pm,NZD,Low Impact Expected,FPI m/m,2.7%,,0.6%
WedSep 10,7:50pm,JPY,Medium Impact Expected,Core Machinery Orders m/m,-3.9%,-4.1%,-2.6%
WedSep 10,9:00pm,AUD,Low Impact Expected,MI Inflation Expectations,4.4%,,4.9%
WedSep 10,9:30pm,AUD,High Impact Expected,Employment Change,14.6K,5.5K,18.7K
ThuSep 11,2:00am,EUR,Low Impact Expected,German WPI m/m,-1.8%,-0.3%,1.4%
ThuSep 11,2:45am,EUR,Low Impact Expected,French Final Private Payrolls q/q,-0.2%,-0.1%,-0.1%
ThuSep 11,4:00am,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
ThuSep 11,4:30am,GBP,Medium Impact Expected,Consumer Inflation Expectations,4.4%,,4.3%
ThuSep 11,4:45am,GBP,High Impact Expected,Monetary Policy Report Hearings,,,
ThuSep 11,8:30am,CAD,High Impact Expected,Trade Balance,4.9B,5.6B,5.6B
ThuSep 11,10:35am,USD,Low Impact Expected,Natural Gas Storage,58B,56B,90B
ThuSep 11,1:00pm,USD,Medium Impact Expected,10-y Bond Auction,3.63|2.5,,4.08|2.6
ThuSep 11,2:00pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
ThuSep 11,2:45pm,USD,Medium Impact Expected,FOMC Member Kohn Speaks,,,
ThuSep 11,6:45pm,NZD,High Impact Expected,Core Retail Sales m/m,-0.2%,0.2%,0.2%
ThuSep 11,7:50pm,JPY,Medium Impact Expected,Final GDP q/q,-0.7%,-0.9%,-0.6%
ThuSep 11,7:52pm,JPY,Low Impact Expected,Final GDP Price Index y/y,-1.5%,-1.6%,-1.6%
ThuSep 11,10:00pm,CNY,High Impact Expected,Industrial Production y/y,12.8%,14.4%,14.7%
FriSep 12,12:30am,JPY,Low Impact Expected,Revised Industrial Production m/m,1.3%,0.9%,0.9%
FriSep 12,2:45am,EUR,Low Impact Expected,French Final CPI m/m,0.0%,0.1%,-0.2%
FriSep 12,4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,-1.1%,-0.5%,-0.2%
FriSep 12,5:00am,EUR,Medium Impact Expected,Industrial Production m/m,-0.3%,-0.2%,-0.2%
FriSep 12,6:30am,GBP,Medium Impact Expected,MPC Member Tucker Speaks,,,
FriSep 12,8:30am,CAD,Low Impact Expected,Capacity Utilization Rate,78.9%,79.3%,79.6%
FriSep 12,9:55am,USD,High Impact Expected,Prelim UoM Consumer Sentiment,73.1,64.0,63.0
FriSep 12,10:00am,USD,Medium Impact Expected,Business Inventories m/m,1.1%,0.5%,0.8%
SunSep 14,9:30am,USD,High Impact Expected,Fed Announcement,,,
SunSep 14,6:50pm,NZD,Low Impact Expected,Manufacturing Sales q/q,-0.6%,,3.0%
SunSep 14,All Day,CNY,Non-Economic,Bank Holiday,,,
SunSep 14,All Day,JPY,Non-Economic,Bank Holiday,,,
SunSep 14,9:30pm,AUD,Low Impact Expected,Housing Starts q/q,-3.7%,-2.7%,-1.0%
SunSep 14,10:30pm,AUD,Medium Impact Expected,Mid-Year Economic and Fiscal Outlook,,,
MonSep 15,3:15am,CHF,Medium Impact Expected,PPI m/m,-0.5%,-0.2%,0.5%
MonSep 15,5:00am,EUR,Low Impact Expected,ECB President Trichet Speaks,,,
MonSep 15,8:30am,CAD,Low Impact Expected,New Motor Vehicle Sales m/m,-0.8%,0.0%,-1.3%
MonSep 15,9:15am,USD,Medium Impact Expected,Capacity Utilization Rate,78.7%,79.6%,79.7%
MonSep 15,9:30pm,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,
TueSep 16,1:00am,JPY,Low Impact Expected,Consumer Confidence,30.1,31.5,31.4
TueSep 16,2:00am,EUR,Low Impact Expected,German Final CPI m/m,-0.3%,-0.3%,-0.3%
TueSep 16,3:15am,CHF,Medium Impact Expected,Industrial Production q/q,8.9%,5.0%,-9.4%
TueSep 16,4:30am,GBP,High Impact Expected,CPI y/y,4.7%,4.6%,4.4%
TueSep 16,4:37am,GBP,Low Impact Expected,ONS HPI y/y,-0.3%,-2.0%,0.6%
TueSep 16,5:00am,EUR,High Impact Expected,Final CPI y/y,3.8%,3.8%,3.8%
TueSep 16,5:30am,GBP,High Impact Expected,BOE Inflation Letter,,,
TueSep 16,7:00am,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
TueSep 16,8:30am,CAD,Medium Impact Expected,Manufacturing Sales m/m,2.7%,1.0%,1.9%
TueSep 16,9:00am,USD,High Impact Expected,TIC Long-Term Purchases,6.1B,55.0B,53.4B
TueSep 16,11:00am,CHF,Medium Impact Expected,Gov Board Member Hildebrand Speaks,,,
TueSep 16,1:00pm,USD,Low Impact Expected,NAHB Housing Market Index,18,17,16
TueSep 16,2:14pm,USD,High Impact Expected,FOMC Statement,,,
TueSep 16,7:30pm,AUD,Low Impact Expected,RBA Annual Report,,,
TueSep 16,8:30pm,AUD,Low Impact Expected,MI Leading Index m/m,0.2%,,0.1%
TueSep 16,11:20pm,AUD,Medium Impact Expected,RBA Gov Stevens Speaks,,,
TueSep 16,11:47pm,JPY,Medium Impact Expected,Monetary Policy Statement,,,
WedSep 17,3:19am,JPY,High Impact Expected,BOJ Press Conference,,,
WedSep 17,4:30am,GBP,High Impact Expected,Claimant Count Change,32.5K,22.2K,27.8K
WedSep 17,5:00am,CHF,Medium Impact Expected,Credit Suisse Economic Expectations,-44.4,,-79.6
WedSep 17,6:00am,GBP,Medium Impact Expected,CBI Industrial Order Expectations,-26,-14,-13
WedSep 17,8:30am,CAD,Medium Impact Expected,Foreign Securities Purchases,-5.59B,5.43B,7.28B
WedSep 17,10:00am,USD,Medium Impact Expected,FOMC Member Duke Speaks,,,
WedSep 17,10:35am,USD,Medium Impact Expected,Crude Oil Inventories,-6.3M,-4.3M,-5.9M
WedSep 17,7:50pm,JPY,Medium Impact Expected,Tertiary Industry Activity m/m,1.2%,0.4%,-1.0%
WedSep 17,9:30pm,AUD,Low Impact Expected,RBA Bulletin,,,
ThuSep 18,1:00am,JPY,Medium Impact Expected,BOJ Monthly Report,,,
ThuSep 18,2:15am,CHF,Low Impact Expected,Trade Balance,1.43B,1.00B,2.29B
ThuSep 18,4:00am,GBP,Medium Impact Expected,MPC Member Dale Speaks,,,
ThuSep 18,4:30am,GBP,High Impact Expected,Retail Sales m/m,1.2%,-0.4%,0.9%
ThuSep 18,4:33am,GBP,Low Impact Expected,M4 Money Supply m/m,1.4%,0.7%,0.9%
ThuSep 18,5:43am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,4.58|1.3,,4.74|1.4
ThuSep 18,8:00am,CHF,High Impact Expected,Libor Rate,2.75%,2.75%,2.75%
ThuSep 18,8:30am,CAD,Medium Impact Expected,Wholesale Sales m/m,2.3%,0.6%,0.1%
ThuSep 18,10:00am,USD,Medium Impact Expected,Philly Fed Manufacturing Index,3.8,-10.0,-12.7
ThuSep 18,10:35am,USD,Low Impact Expected,Natural Gas Storage,67B,61B,58B
ThuSep 18,6:45pm,NZD,High Impact Expected,Current Account,-3.91B,-3.42B,-2.11B
