Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
TueJan 1,All Day,CHF,Non-Economic,Bank Holiday,,,
TueJan 1,All Day,EUR,Non-Economic,German Bank Holiday,,,
TueJan 1,All Day,EUR,Non-Economic,French Bank Holiday,,,
TueJan 1,All Day,EUR,Non-Economic,Italian Bank Holiday,,,
TueJan 1,All Day,GBP,Non-Economic,Bank Holiday,,,
TueJan 1,All Day,CAD,Non-Economic,Bank Holiday,,,
TueJan 1,All Day,USD,Non-Economic,Bank Holiday,,,
TueJan 1,All Day,NZD,Non-Economic,Bank Holiday,,,
TueJan 1,5:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,57.6,,53.8
TueJan 1,All Day,CNY,Non-Economic,Bank Holiday,,,
TueJan 1,All Day,JPY,Non-Economic,Bank Holiday,,,
TueJan 1,9:30pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,53.3,,52.8
WedJan 2,12:30am,AUD,Medium Impact Expected,Commodity Prices y/y,1.8%,,1.6%
WedJan 2,All Day,CHF,Non-Economic,Bank Holiday,,,
WedJan 2,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,49.5,,50.7
WedJan 2,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,50.7,51.2,51.3
WedJan 2,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,52.6,52.5,52.5
WedJan 2,4:30am,GBP,Medium Impact Expected,Final Manufacturing PMI,52.9,53.9,54.3
WedJan 2,5:07am,EUR,Low Impact Expected,German 10-y Bond Auction,4.35|1.2,,4.19|2.0
WedJan 2,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,47.7,50.7,50.8
WedJan 2,2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
WedJan 2,All Day,JPY,Non-Economic,Bank Holiday,,,
WedJan 2,8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,58.8,,54.1
ThuJan 3,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,35.1K,,45.9K
