Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
WedJan 1,All Day,CHF,Non-Economic,Bank Holiday,,,
WedJan 1,All Day,EUR,Non-Economic,Italian Bank Holiday,,,
WedJan 1,All Day,EUR,Non-Economic,French Bank Holiday,,,
WedJan 1,All Day,EUR,Non-Economic,German Bank Holiday,,,
WedJan 1,All Day,GBP,Non-Economic,Bank Holiday,,,
WedJan 1,All Day,CAD,Non-Economic,Bank Holiday,,,
WedJan 1,All Day,USD,Non-Economic,Bank Holiday,,,
WedJan 1,All Day,NZD,Non-Economic,Bank Holiday,,,
WedJan 1,5:10pm,AUD,Low Impact Expected,AIG Manufacturing Index,47.6,,47.7
WedJan 1,All Day,JPY,Non-Economic,Bank Holiday,,,
WedJan 1,All Day,CNY,Non-Economic,Bank Holiday,,,
WedJan 1,8:45pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,50.5,50.5,50.5
ThuJan 2,12:30am,AUD,Low Impact Expected,Commodity Prices y/y,-4.00%,,-2.80%
ThuJan 2,All Day,CHF,Non-Economic,Bank Holiday,,,
ThuJan 2,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,50.8,49.9,48.6
ThuJan 2,3:45am,EUR,Medium Impact Expected,Italian Manufacturing PMI,53.3,51.8,51.4
ThuJan 2,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,47,47.1,47.1
ThuJan 2,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,54.3,54.2,54.2
ThuJan 2,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,52.7,52.7,52.7
ThuJan 2,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,57.3,58.3,58.1
ThuJan 2,8:30am,USD,High Impact Expected,Unemployment Claims,339K,334K,341K
ThuJan 2,9:00am,USD,Low Impact Expected,Final Manufacturing PMI,55,54.4,54.4
ThuJan 2,9:30am,CAD,Low Impact Expected,Manufacturing PMI,53.5,,55.3
ThuJan 2,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,57,56.8,57.3
ThuJan 2,10:00am,USD,Low Impact Expected,Construction Spending m/m,1.00%,0.70%,0.90%
ThuJan 2,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,53.5,53,52.5
ThuJan 2,All Day,JPY,Non-Economic,Bank Holiday,,,
ThuJan 2,8:00pm,CNY,Medium Impact Expected,Non-Manufacturing PMI,54.6,,56
FriJan 3,2:00am,GBP,Medium Impact Expected,Nationwide HPI m/m,1.40%,0.80%,0.70%
FriJan 3,3:00am,CHF,Medium Impact Expected,KOF Economic Barometer,1.95,1.92,1.85
FriJan 3,3:00am,EUR,Medium Impact Expected,Spanish Flash CPI y/y,0.20%,0.20%,0.20%
FriJan 3,3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-107.6K,24.3K,-2.5K
FriJan 3,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,53.9,56.4,56.5
FriJan 3,4:00am,EUR,Medium Impact Expected,M3 Money Supply y/y,1.50%,1.50%,1.40%
FriJan 3,4:00am,EUR,Low Impact Expected,Private Loans y/y,-2.30%,-1.90%,-2.20%
FriJan 3,4:30am,GBP,High Impact Expected,Construction PMI,62.1,62.3,62.6
FriJan 3,4:30am,GBP,Medium Impact Expected,Net Lending to Individuals m/m,1.5B,2.0B,1.6B
FriJan 3,4:30am,GBP,Low Impact Expected,M4 Money Supply m/m,0.00%,0.30%,0.10%
FriJan 3,4:30am,GBP,Low Impact Expected,Mortgage Approvals,71K,70K,68K
FriJan 3,5:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.20%,0.30%,-0.30%
FriJan 3,10:30am,USD,Low Impact Expected,Natural Gas Storage,-97B,-125B,-177B
FriJan 3,11:00am,USD,Medium Impact Expected,Crude Oil Inventories,-7.0M,-2.3M,-4.7M
FriJan 3,All Day,USD,Low Impact Expected,Total Vehicle Sales,15.4M,16.0M,16.4M
FriJan 3,12:45pm,USD,Medium Impact Expected,FOMC Member Plosser Speaks,,,
FriJan 3,1:15pm,USD,Medium Impact Expected,FOMC Member Stein Speaks,,,
FriJan 3,2:30pm,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
SatJan 4,10:15am,USD,Medium Impact Expected,FOMC Member Dudley Speaks,,,
SatJan 4,5:00pm,USD,Medium Impact Expected,FOMC Member Plosser Speaks,,,
SunJan 5,5:16pm,AUD,Low Impact Expected,AIG Services Index,46.1,,48.9
SunJan 5,8:45pm,CNY,Medium Impact Expected,Caixin Services PMI,50.9,,52.5
MonJan 6,All Day,EUR,Non-Economic,Italian Bank Holiday,,,
MonJan 6,All Day,EUR,Medium Impact Expected,German Prelim CPI m/m,0.40%,0.40%,0.20%
MonJan 6,3:15am,EUR,Medium Impact Expected,Spanish Services PMI,54.2,51.1,51.5
MonJan 6,3:45am,EUR,Medium Impact Expected,Italian Services PMI,47.9,48.9,47.2
MonJan 6,3:50am,EUR,Low Impact Expected,French Final Services PMI,47.8,47.4,47.4
MonJan 6,3:55am,EUR,Low Impact Expected,German Final Services PMI,53.5,54,54
MonJan 6,4:00am,EUR,Low Impact Expected,Final Services PMI,51,51.2,51
MonJan 6,4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,11.9,9.7,8
MonJan 6,4:30am,GBP,High Impact Expected,Final Services PMI,58.8,60.4,60
MonJan 6,8:30am,CAD,Medium Impact Expected,RMPI m/m,-4.10%,-1.10%,-3.30%
MonJan 6,8:30am,CAD,Low Impact Expected,IPPI m/m,0.10%,0.00%,-0.50%
MonJan 6,9:00am,USD,Low Impact Expected,Final Services PMI,55.7,56,56
MonJan 6,10:00am,USD,High Impact Expected,ISM Services PMI,53,54.6,53.9
MonJan 6,10:00am,USD,Medium Impact Expected,Factory Orders m/m,1.80%,1.80%,-0.50%
MonJan 6,6:00pm,USD,High Impact Expected,Fed Chairman Nomination Vote,Pass,Pass,
MonJan 6,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,46.60%,55.20%,52.50%
MonJan 6,7:30pm,AUD,High Impact Expected,Trade Balance,-0.12B,-0.30B,-0.36B
MonJan 6,10:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.72|3.8,,0.65|4.0
TueJan 7,2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,1.50%,0.50%,-0.80%
TueJan 7,3:00am,CHF,Medium Impact Expected,Foreign Currency Reserves,435B,,436B
TueJan 7,3:55am,EUR,Medium Impact Expected,German Unemployment Change,-15K,-1K,9K
TueJan 7,5:00am,EUR,High Impact Expected,CPI Flash Estimate y/y,0.80%,0.90%,0.90%
TueJan 7,5:00am,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,0.70%,,0.90%
TueJan 7,5:00am,EUR,Low Impact Expected,PPI m/m,-0.10%,-0.10%,-0.50%
TueJan 7,8:30am,CAD,High Impact Expected,Trade Balance,-0.9B,-0.2B,-0.9B
TueJan 7,8:30am,NZD,Low Impact Expected,GDT Price Index,-0.80%,,0.20%
TueJan 7,8:30am,USD,High Impact Expected,Trade Balance,-34.3B,-40.2B,-39.3B
TueJan 7,10:00am,CAD,High Impact Expected,Ivey PMI,46.3,55,53.7
TueJan 7,5:17pm,AUD,Low Impact Expected,AIG Construction Index,50.8,,55.2
TueJan 7,7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-0.80%,,-0.30%
WedJan 8,2:00am,EUR,Medium Impact Expected,German Trade Balance,17.8B,18.9B,16.7B
WedJan 8,2:59am,GBP,Medium Impact Expected,Halifax HPI m/m,-0.60%,0.60%,0.90%
WedJan 8,4:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,12.70%,12.60%,12.50%
WedJan 8,4:30am,GBP,Medium Impact Expected,BOE Credit Conditions Survey,,,
WedJan 8,5:00am,EUR,Medium Impact Expected,Retail Sales m/m,1.40%,0.20%,-0.40%
WedJan 8,5:00am,EUR,Medium Impact Expected,Unemployment Rate,12.10%,12.10%,12.10%
WedJan 8,6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,2.10%,1.20%,-2.10%
WedJan 8,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,238K,199K,229K
WedJan 8,10:30am,USD,Medium Impact Expected,Crude Oil Inventories,-2.7M,-1.6M,-7.0M
WedJan 8,1:01pm,USD,Medium Impact Expected,10-y Bond Auction,3.01|2.7,,2.82|2.6
WedJan 8,2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
WedJan 8,3:00pm,USD,Low Impact Expected,Consumer Credit m/m,12.3B,14.8B,17.9B
WedJan 8,4:45pm,NZD,Medium Impact Expected,Building Consents m/m,11.10%,,0.30%
WedJan 8,7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.00%,,-0.30%
WedJan 8,7:30pm,AUD,High Impact Expected,Building Approvals m/m,-1.50%,-0.90%,-1.60%
WedJan 8,7:30pm,AUD,High Impact Expected,Retail Sales m/m,0.70%,0.50%,0.50%
WedJan 8,8:30pm,CNY,High Impact Expected,CPI y/y,2.50%,2.70%,3.00%
WedJan 8,8:30pm,CNY,Medium Impact Expected,PPI y/y,-1.40%,-1.20%,-1.40%
ThuJan 9,2:45am,EUR,Low Impact Expected,French Trade Balance,-5.7B,-4.6B,-4.8B
ThuJan 9,4:30am,GBP,Medium Impact Expected,Goods Trade Balance,-9.4B,-9.4B,-9.7B
ThuJan 9,5:01am,EUR,Medium Impact Expected,French 10-y Bond Auction,2.51|1.5,,2.41|2.0
ThuJan 9,6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,1.90%,1.60%,-1.20%
ThuJan 9,7:00am,GBP,High Impact Expected,Asset Purchase Facility,375B,375B,375B
ThuJan 9,7:00am,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.50%
ThuJan 9,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-5.90%,,-20.60%
ThuJan 9,7:45am,EUR,High Impact Expected,Main Refinancing Rate,0.25%,0.25%,0.25%
ThuJan 9,8:13am,CAD,Low Impact Expected,Housing Starts,190K,196K,198K
ThuJan 9,8:30am,CAD,High Impact Expected,Building Permits m/m,-6.70%,-2.30%,8.00%
ThuJan 9,8:30am,CAD,Medium Impact Expected,NHPI m/m,0.00%,0.20%,0.10%
ThuJan 9,8:30am,EUR,High Impact Expected,ECB Press Conference,,,
ThuJan 9,8:30am,USD,High Impact Expected,Unemployment Claims,330K,337K,345K
ThuJan 9,10:30am,USD,Low Impact Expected,Natural Gas Storage,-157B,-147B,-97B
ThuJan 9,1:01pm,USD,Low Impact Expected,30-y Bond Auction,3.90|2.6,,3.90|2.3
ThuJan 9,7:00pm,AUD,Medium Impact Expected,HIA New Home Sales m/m,7.50%,,-3.80%
ThuJan 9,7:01pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,0.40%,,0.60%
