Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
SunApr 1,All Day,NZD,Non-Economic,Bank Holiday,,,
SunApr 1,All Day,AUD,Non-Economic,Bank Holiday,,,
SunApr 1,7:50pm,JPY,Low Impact Expected,Tankan Manufacturing Index,24,25,25
SunApr 1,7:50pm,JPY,Low Impact Expected,Tankan Non-Manufacturing Index,23,24,23
SunApr 1,8:30pm,JPY,Low Impact Expected,Final Manufacturing PMI,53.1,53.2,53.2
SunApr 1,9:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.10%,,-0.10%
SunApr 1,9:45pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,51,51.8,51.6
MonApr 2,All Day,CHF,Non-Economic,Bank Holiday,,,
MonApr 2,All Day,EUR,Non-Economic,French Bank Holiday,,,
MonApr 2,All Day,EUR,Non-Economic,German Bank Holiday,,,
MonApr 2,All Day,EUR,Non-Economic,Italian Bank Holiday,,,
MonApr 2,All Day,GBP,Non-Economic,Bank Holiday,,,
MonApr 2,9:30am,CAD,Low Impact Expected,Manufacturing PMI,55.7,,55.6
MonApr 2,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,55.6,55.7,55.7
MonApr 2,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,59.3,60.1,60.8
MonApr 2,10:00am,USD,Low Impact Expected,Construction Spending m/m,0.10%,0.40%,0.00%
MonApr 2,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,78.1,72.5,74.2
MonApr 2,6:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,63.1,,57.5
MonApr 2,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,9.10%,9.60%,9.40%
MonApr 2,9:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,0.00%,,-0.40%
MonApr 2,11:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.03|4.2,,0.06|4.5
TueApr 3,12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
TueApr 3,12:30am,AUD,Medium Impact Expected,Cash Rate,1.50%,1.50%,1.50%
TueApr 3,2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,-0.70%,0.70%,-0.30%
TueApr 3,2:30am,AUD,Low Impact Expected,Commodity Prices y/y,-2.10%,,-2.80%
TueApr 3,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,-47.7K,-47.5K,-6.3K
TueApr 3,3:15am,CHF,Low Impact Expected,Retail Sales y/y,-0.20%,-0.70%,-0.40%
TueApr 3,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,54.8,54.7,56
TueApr 3,3:30am,CHF,Low Impact Expected,Manufacturing PMI,60.3,64.3,65.5
TueApr 3,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,55.1,55.6,56.8
