Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
MonJan 1,All Day,CHF,Non-Economic,Bank Holiday,,,
MonJan 1,All Day,EUR,Non-Economic,French Bank Holiday,,,
MonJan 1,All Day,EUR,Non-Economic,German Bank Holiday,,,
MonJan 1,All Day,EUR,Non-Economic,Italian Bank Holiday,,,
MonJan 1,All Day,GBP,Non-Economic,Bank Holiday,,,
MonJan 1,All Day,CAD,Non-Economic,Bank Holiday,,,
MonJan 1,All Day,USD,Non-Economic,Bank Holiday,,,
MonJan 1,All Day,NZD,Non-Economic,Bank Holiday,,,
MonJan 1,5:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,56.2,,57.3
MonJan 1,All Day,JPY,Non-Economic,Bank Holiday,,,
MonJan 1,8:45pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,51.5,50.7,50.8
TueJan 2,12:30am,AUD,Low Impact Expected,Commodity Prices y/y,-5.90%,,-4.00%
TueJan 2,All Day,CHF,Non-Economic,Bank Holiday,,,
TueJan 2,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,55.8,56.4,56.1
TueJan 2,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,57.4,58.6,58.3
TueJan 2,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,58.8,59.3,59.3
TueJan 2,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,63.3,63.3,63.3
TueJan 2,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,60.6,60.6,60.6
TueJan 2,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,56.3,58,58.2
TueJan 2,4:36am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-5.9B,-6.2B,-5.8B
TueJan 2,9:25am,NZD,Medium Impact Expected,GDT Price Index,2.20%,,-3.90%
TueJan 2,9:30am,CAD,Low Impact Expected,Manufacturing PMI,54.7,,54.4
TueJan 2,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,55.1,55,55
TueJan 2,All Day,JPY,Non-Economic,Bank Holiday,,,
WedJan 3,3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-61.5K,-58.7K,7.3K
WedJan 3,3:30am,CHF,Low Impact Expected,Manufacturing PMI,65.2,64.6,65.1
WedJan 3,3:55am,EUR,Low Impact Expected,German Unemployment Change,-29K,-13K,-20K
WedJan 3,4:30am,GBP,High Impact Expected,Construction PMI,52.2,52.8,53.1
WedJan 3,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,59.7,58.1,58.2
WedJan 3,10:00am,USD,Low Impact Expected,Construction Spending m/m,0.80%,0.60%,0.90%
WedJan 3,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,69,64.8,65.5
WedJan 3,All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,17.8M,17.5M,17.4M
WedJan 3,All Day,USD,Low Impact Expected,Total Vehicle Sales,17.9M,17.5M,17.5M
WedJan 3,2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
WedJan 3,5:30pm,AUD,Low Impact Expected,AIG Services Index,52,,51.7
WedJan 3,7:30pm,JPY,Low Impact Expected,Final Manufacturing PMI,54,54.2,54.2
WedJan 3,8:45pm,CNY,Medium Impact Expected,Caixin Services PMI,53.9,51.8,51.9
ThuJan 4,1:57am,GBP,Low Impact Expected,Nationwide HPI m/m,0.60%,0.10%,0.10%
ThuJan 4,3:15am,EUR,Low Impact Expected,Spanish Services PMI,54.6,54.7,54.4
ThuJan 4,3:45am,EUR,Low Impact Expected,Italian Services PMI,55.4,54.7,54.7
ThuJan 4,3:50am,EUR,Low Impact Expected,French Final Services PMI,59.1,59.4,59.4
ThuJan 4,3:55am,EUR,Low Impact Expected,German Final Services PMI,55.8,55.8,55.8
ThuJan 4,4:00am,EUR,Low Impact Expected,Final Services PMI,56.6,56.5,56.5
ThuJan 4,4:30am,GBP,High Impact Expected,Final Services PMI,54.2,54.1,53.8
ThuJan 4,4:30am,GBP,Medium Impact Expected,Net Lending to Individuals m/m,4.9B,4.9B,4.7B
ThuJan 4,4:30am,GBP,Low Impact Expected,M4 Money Supply m/m,0.10%,0.40%,0.60%
ThuJan 4,4:30am,GBP,Low Impact Expected,Mortgage Approvals,65K,64K,65K
ThuJan 4,4:51am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.53|1.8,,1.49|2.0
ThuJan 4,5:01am,EUR,Low Impact Expected,French 10-y Bond Auction,0.79|1.4,,0.36|1.9
ThuJan 4,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-3.60%,,30.10%
ThuJan 4,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,250K,191K,185K
ThuJan 4,8:30am,CAD,Medium Impact Expected,RMPI m/m,5.50%,4.00%,3.80%
ThuJan 4,8:30am,CAD,Low Impact Expected,IPPI m/m,1.40%,0.80%,1.10%
ThuJan 4,8:30am,USD,High Impact Expected,Unemployment Claims,250K,241K,247K
ThuJan 4,9:45am,USD,Low Impact Expected,Final Services PMI,53.7,52.4,52.4
ThuJan 4,10:30am,USD,Low Impact Expected,Natural Gas Storage,-206B,-221B,-112B
ThuJan 4,11:00am,USD,High Impact Expected,Crude Oil Inventories,-7.4M,-5.2M,-4.6M
ThuJan 4,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,11.20%,13.10%,13.20%
ThuJan 4,7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-0.60%,,-0.10%
ThuJan 4,7:30pm,AUD,High Impact Expected,Trade Balance,-0.63B,0.55B,-0.30B
FriJan 5,2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,2.30%,1.00%,-1.00%
FriJan 5,2:45am,EUR,Low Impact Expected,French Prelim CPI m/m,0.30%,0.30%,0.10%
FriJan 5,4:10am,EUR,Low Impact Expected,Retail PMI,53,,52.4
FriJan 5,5:00am,EUR,High Impact Expected,CPI Flash Estimate y/y,1.40%,1.40%,1.50%
FriJan 5,5:00am,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,0.90%,1.00%,0.90%
FriJan 5,5:00am,EUR,Low Impact Expected,PPI m/m,0.60%,0.30%,0.40%
FriJan 5,5:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.40%,0.20%,-0.20%
FriJan 5,8:30am,CAD,High Impact Expected,Employment Change,78.6K,1.8K,79.5K
FriJan 5,8:30am,CAD,High Impact Expected,Trade Balance,-2.5B,-1.2B,-1.6B
FriJan 5,8:30am,CAD,High Impact Expected,Unemployment Rate,5.70%,6.00%,5.90%
FriJan 5,8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.30%,0.30%,0.10%
FriJan 5,8:30am,USD,High Impact Expected,Non-Farm Employment Change,148K,190K,252K
FriJan 5,8:30am,USD,High Impact Expected,Unemployment Rate,4.10%,4.10%,4.10%
FriJan 5,8:30am,USD,Low Impact Expected,Trade Balance,-50.5B,-49.7B,-48.9B
FriJan 5,10:00am,CAD,Medium Impact Expected,Ivey PMI,60.4,62.2,63
FriJan 5,10:00am,USD,High Impact Expected,ISM Services PMI,55.9,57.6,57.4
FriJan 5,10:00am,USD,Low Impact Expected,Factory Orders m/m,1.30%,1.10%,0.40%
FriJan 5,12:30pm,USD,Medium Impact Expected,FOMC Member Mester Speaks,,,
SatJan 6,10:15am,USD,Medium Impact Expected,FOMC Member Mester Speaks,,,
SunJan 7,8:00am,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
SunJan 7,5:30pm,AUD,Low Impact Expected,AIG Construction Index,52.8,,57.5
SunJan 7,All Day,JPY,Non-Economic,Bank Holiday,,,
