Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
ThuApr 1,1:30am,AUD,Low Impact Expected,Commodity Prices y/y,28.20%,,24.40%
ThuApr 1,2:00am,EUR,Low Impact Expected,German Retail Sales m/m,1.20%,2.00%,-4.50%
ThuApr 1,2:30am,CHF,Low Impact Expected,CPI m/m,0.30%,0.40%,0.20%
ThuApr 1,2:30am,CHF,Low Impact Expected,Retail Sales y/y,-6.30%,1.90%,-0.70%
ThuApr 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,56.9,56,52.9
ThuApr 1,3:30am,CHF,Low Impact Expected,Manufacturing PMI,66.3,64.4,61.3
ThuApr 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,59.8,59.7,56.9
ThuApr 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,59.3,58.8,58.8
ThuApr 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,66.6,66.6,66.6
ThuApr 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,62.5,62.4,62.4
ThuApr 1,4:30am,GBP,Low Impact Expected,Final Manufacturing PMI,58.9,57.9,57.9
ThuApr 1,All Day,All,High Impact Expected,OPEC-JMMC Meetings,,,
ThuApr 1,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-86.20%,,-39.10%
ThuApr 1,8:30am,CAD,Low Impact Expected,Building Permits m/m,2.10%,-1.50%,6.90%
ThuApr 1,8:30am,USD,Low Impact Expected,Unemployment Claims,719K,678K,658K
ThuApr 1,9:30am,CAD,Low Impact Expected,Manufacturing PMI,58.5,,54.8
ThuApr 1,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,59.1,59.2,59
ThuApr 1,10:00am,USD,Medium Impact Expected,ISM Manufacturing PMI,64.7,61.5,60.8
ThuApr 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,-0.80%,-0.90%,1.20%
ThuApr 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,85.6,83.5,86
