Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
SunDec 1,4:45pm,NZD,Medium Impact Expected,Overseas Trade Index q/q,7.5%,3.0%,4.7%
SunDec 1,5:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,47.7,,53.2
SunDec 1,6:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.2%,,0.1%
SunDec 1,6:50pm,JPY,Medium Impact Expected,Capital Spending q/y,1.5%,3.1%,0.0%
SunDec 1,7:30pm,AUD,High Impact Expected,Building Approvals m/m,-1.8%,-4.3%,16.9%
SunDec 1,8:45pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,50.8,50.5,50.4
SunDec 1,9:30pm,JPY,High Impact Expected,BOJ Gov Kuroda Speaks,,,
MonDec 2,12:30am,AUD,Low Impact Expected,Commodity Prices y/y,-1.9%,,-0.5%
MonDec 2,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,48.6,51.3,50.9
MonDec 2,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,56.5,55.1,54.2
MonDec 2,3:45am,EUR,Medium Impact Expected,Italian Manufacturing PMI,51.4,51.4,50.7
MonDec 2,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,48.4,47.8,47.8
MonDec 2,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,52.7,52.5,52.5
MonDec 2,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,51.6,51.5,51.5
MonDec 2,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,58.4,56.5,56.5
MonDec 2,8:30am,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
MonDec 2,9:00am,USD,Low Impact Expected,Final Manufacturing PMI,54.7,54.3,54.3
MonDec 2,9:30am,CAD,Low Impact Expected,Manufacturing PMI,55.3,,55.6
MonDec 2,Sep Data,USD,Low Impact Expected,Construction Spending m/m,-0.3%,0.5%,0.6%
MonDec 2,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,57.3,55.2,56.4
